event_id,task_name,start_time,end_time,mission_id,segment_id,robot_id,case_study,algorithm,required_capability,duration_min,travel_time_min,wait_from_deps_min,zone,x,y,order,item,room,floor,field,plot,destination,priority
e_agriculture_capability_aware_00025,pest_control_spray,2026-01-09T08:09,2026-01-09T08:21,field_beta,field_beta_treatment_B3,ag_treatbot_1,agriculture,capability_aware,spraying,12,5,6,plot_B3,9.06,9.91,,,,,field_beta,B3,,normal
e_agriculture_capability_aware_00026,irrigation_adjustment,2026-01-09T08:10,2026-01-09T08:20,field_beta,field_beta_treatment_B2,ag_irrigator_1,agriculture,capability_aware,irrigation,10,6,6,plot_B2,5.63,9.72,,,,,field_beta,B2,,normal
e_agriculture_capability_aware_00027,fertilizer_application,2026-01-09T08:12,2026-01-09T08:25,field_beta,field_beta_treatment_B1,ag_generalist_1,agriculture,capability_aware,fertilizer,13,9,50,plot_B1,2.95,10.12,,,,,field_beta,B1,,high
e_agriculture_capability_aware_00028,irrigation_adjustment,2026-01-09T08:26,2026-01-09T08:35,field_beta,field_beta_treatment_B3,ag_irrigator_1,agriculture,capability_aware,irrigation,9,5,5,plot_B3,9.06,9.91,,,,,field_beta,B3,,normal
e_agriculture_capability_aware_00029,pest_control_spray,2026-01-09T08:30,2026-01-09T08:43,field_alpha,field_alpha_treatment_A4,ag_treatbot_1,agriculture,capability_aware,spraying,13,9,63,plot_A4,12.28,4.72,,,,,field_alpha,A4,,normal
e_agriculture_capability_aware_00030,fertilizer_application,2026-01-09T08:32,2026-01-09T08:45,field_alpha,field_alpha_treatment_A1,ag_generalist_1,agriculture,capability_aware,fertilizer,13,7,80,plot_A1,2.61,5.02,,,,,field_alpha,A1,,high
e_agriculture_capability_aware_00031,pest_control_spray,2026-01-09T08:48,2026-01-09T09:01,field_alpha,field_alpha_treatment_A3,ag_treatbot_1,agriculture,capability_aware,spraying,13,5,65,plot_A3,9.11,4.78,,,,,field_alpha,A3,,normal
e_agriculture_capability_aware_00032,irrigation_adjustment,2026-01-09T08:52,2026-01-09T09:00,field_alpha,field_alpha_treatment_A4,ag_irrigator_1,agriculture,capability_aware,irrigation,8,9,9,plot_A4,12.28,4.72,,,,,field_alpha,A4,,normal
e_agriculture_capability_aware_00033,irrigation_adjustment,2026-01-09T09:06,2026-01-09T09:15,field_alpha,field_alpha_treatment_A3,ag_irrigator_1,agriculture,capability_aware,irrigation,9,5,5,plot_A3,9.11,4.78,,,,,field_alpha,A3,,normal
e_agriculture_capability_aware_00034,pest_control_spray,2026-01-09T09:10,2026-01-09T09:19,field_alpha,field_alpha_treatment_A1,ag_treatbot_1,agriculture,capability_aware,spraying,9,9,25,plot_A1,2.61,5.02,,,,,field_alpha,A1,,high
e_agriculture_capability_aware_00035,irrigation_adjustment,2026-01-09T09:19,2026-01-09T09:29,field_alpha,field_alpha_treatment_A1,ag_generalist_1,agriculture,capability_aware,irrigation,10,0,0,plot_A1,2.61,5.02,,,,,field_alpha,A1,,high
e_agriculture_capability_aware_00036,pest_control_spray,2026-01-09T09:26,2026-01-09T09:38,field_beta,field_beta_treatment_B1,ag_treatbot_1,agriculture,capability_aware,spraying,12,7,61,plot_B1,2.95,10.12,,,,,field_beta,B1,,high
e_agriculture_capability_aware_00037,drone_recheck,2026-01-09T09:34,2026-01-09T09:39,field_alpha,,ag_drone_2,agriculture,capability_aware,aerial_imaging,5,5,5,field_field_alpha,3.00,5.00,,,,,field_alpha,,,normal
e_agriculture_capability_aware_00038,soil_nutrient_test,2026-01-09T09:41,2026-01-09T09:47,field_alpha,,ag_generalist_1,agriculture,capability_aware,soil_sensing,6,2,2,field_field_alpha,4.00,5.00,,,,,field_alpha,,,normal
e_agriculture_capability_aware_00039,irrigation_adjustment,2026-01-09T09:49,2026-01-09T10:00,field_beta,field_beta_treatment_B1,ag_irrigator_1,agriculture,capability_aware,irrigation,11,11,11,plot_B1,2.95,10.12,,,,,field_beta,B1,,high
e_agriculture_capability_aware_00040,drone_recheck,2026-01-09T10:07,2026-01-09T10:13,field_beta,,ag_drone_2,agriculture,capability_aware,aerial_imaging,6,7,7,field_field_beta,3.00,10.00,,,,,field_beta,,,normal
e_agriculture_capability_aware_00041,soil_nutrient_test,2026-01-09T10:20,2026-01-09T10:27,field_beta,,ag_soilbot_1,agriculture,capability_aware,soil_sensing,7,7,7,field_field_beta,4.00,10.00,,,,,field_beta,,,normal
