task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t3,spray,m1,m1_s1,segment,r2,greedy,2026-01-01T08:03:00.52,e157,2026-01-01T08:03:59.62,2026-01-01T08:04:16.18
t182,survey_field,m20,,mission,r3,greedy,2026-01-01T08:03:10.00,e161,2026-01-01T08:12:47.04,2026-01-01T08:12:55.86
t8,spray,m1,m1_s3,segment,r6,greedy,2026-01-01T08:03:22.74,e165,2026-01-01T08:04:12.15,2026-01-01T08:04:32.45
t50,inspect,m6,m6_s1,segment,r1,greedy,2026-01-01T08:03:47.46,e169,2026-01-01T08:12:27.55,2026-01-01T08:12:40.80
t52,inspect,m6,m6_s2,segment,r5,greedy,2026-01-01T08:03:47.46,e173,2026-01-01T08:14:09.67,2026-01-01T08:14:20.03
t55,inspect,m6,m6_s3,segment,r7,greedy,2026-01-01T08:03:47.46,e177,2026-01-01T08:13:30.74,2026-01-01T08:13:42.91
t13,harvest,m2,m2_s1,segment,r4,greedy,2026-01-01T08:03:59.64,e182,2026-01-01T08:04:31.31,2026-01-01T08:04:55.00
t4,harvest,m1,m1_s1,segment,r8,greedy,2026-01-01T08:04:16.18,e187,2026-01-01T08:05:03.73,2026-01-01T08:05:27.68
t9,harvest,m1,m1_s3,segment,r8,greedy,2026-01-01T08:04:32.45,e192,2026-01-01T08:07:40.03,2026-01-01T08:08:07.38
t18,harvest,m2,m2_s3,segment,r4,greedy,2026-01-01T08:04:36.15,e197,2026-01-01T08:06:25.83,2026-01-01T08:06:49.13
t78,inspect,m9,m9_s1,segment,r1,greedy,2026-01-01T08:05:22.67,e201,2026-01-01T08:13:34.94,2026-01-01T08:13:46.88
t81,inspect,m9,m9_s2,segment,r3,greedy,2026-01-01T08:05:22.67,e205,2026-01-01T08:13:40.17,2026-01-01T08:13:51.85
t83,inspect,m9,m9_s3,segment,r7,greedy,2026-01-01T08:05:22.67,e209,2026-01-01T08:15:55.68,2026-01-01T08:16:08.59
t69,inspect,m8,m8_s1,segment,r3,greedy,2026-01-01T08:05:23.71,e213,2026-01-01T08:14:56.19,2026-01-01T08:15:08.59
t71,inspect,m8,m8_s2,segment,r5,greedy,2026-01-01T08:05:23.71,e217,2026-01-01T08:14:45.95,2026-01-01T08:14:59.94
t74,inspect,m8,m8_s3,segment,r1,greedy,2026-01-01T08:05:23.71,e221,2026-01-01T08:16:35.46,2026-01-01T08:16:49.80
t41,spray,m5,m5_s1,segment,r2,greedy,2026-01-01T08:05:41.81,e225,2026-01-01T08:06:14.14,2026-01-01T08:06:34.42
t15,spray,m2,m2_s2,segment,r6,greedy,2026-01-01T08:05:45.77,e229,2026-01-01T08:07:59.95,2026-01-01T08:08:17.04
t88,inspect,m10,m10_s1,segment,r5,greedy,2026-01-01T08:06:11.57,e233,2026-01-01T08:15:46.46,2026-01-01T08:15:56.39
t90,inspect,m10,m10_s2,segment,r3,greedy,2026-01-01T08:06:11.57,e237,2026-01-01T08:16:50.67,2026-01-01T08:17:03.02
t93,inspect,m10,m10_s3,segment,r7,greedy,2026-01-01T08:06:11.57,e241,2026-01-01T08:17:17.87,2026-01-01T08:17:28.88
t42,harvest,m5,m5_s1,segment,r4,greedy,2026-01-01T08:06:34.42,e246,2026-01-01T08:08:12.14,2026-01-01T08:08:32.01
t44,harvest,m5,m5_s2,segment,r4,greedy,2026-01-01T08:06:37.00,e251,2026-01-01T08:09:32.20,2026-01-01T08:09:54.42
t97,inspect,m11,m11_s1,segment,r5,greedy,2026-01-01T08:06:39.20,e255,2026-01-01T08:17:41.89,2026-01-01T08:17:51.95
t100,inspect,m11,m11_s2,segment,r3,greedy,2026-01-01T08:06:39.20,e259,2026-01-01T08:18:23.66,2026-01-01T08:18:36.46
t102,inspect,m11,m11_s3,segment,r1,greedy,2026-01-01T08:06:39.20,e263,2026-01-01T08:17:16.94,2026-01-01T08:17:27.97
t32,harvest,m4,m4_s1,segment,r4,greedy,2026-01-01T08:07:22.58,e268,2026-01-01T08:10:41.80,2026-01-01T08:11:03.47
t46,spray,m5,m5_s3,segment,r2,greedy,2026-01-01T08:07:29.19,e272,2026-01-01T08:08:44.10,2026-01-01T08:09:01.22
t10,final_inspection,m1,,mission,r7,greedy,2026-01-01T08:08:07.38,e276,2026-01-01T08:18:38.60,2026-01-01T08:18:47.34
t16,harvest,m2,m2_s2,segment,r8,greedy,2026-01-01T08:08:17.04,e281,2026-01-01T08:10:33.23,2026-01-01T08:10:55.70
t37,harvest,m4,m4_s3,segment,r4,greedy,2026-01-01T08:08:19.22,e286,2026-01-01T08:13:01.63,2026-01-01T08:13:23.26
t107,inspect,m12,m12_s1,segment,r1,greedy,2026-01-01T08:08:50.23,e290,2026-01-01T08:17:58.82,2026-01-01T08:18:08.56
t109,inspect,m12,m12_s2,segment,r5,greedy,2026-01-01T08:08:50.23,e294,2026-01-01T08:20:22.06,2026-01-01T08:20:34.49
t112,inspect,m12,m12_s3,segment,r7,greedy,2026-01-01T08:08:50.23,e298,2026-01-01T08:19:25.63,2026-01-01T08:19:39.82
t34,spray,m4,m4_s2,segment,r2,greedy,2026-01-01T08:08:51.46,e302,2026-01-01T08:11:40.88,2026-01-01T08:11:55.88
t47,harvest,m5,m5_s3,segment,r8,greedy,2026-01-01T08:09:01.22,e307,2026-01-01T08:13:36.73,2026-01-01T08:13:58.26
t116,inspect,m13,m13_s1,segment,r1,greedy,2026-01-01T08:09:08.35,e311,2026-01-01T08:20:45.05,2026-01-01T08:20:55.07
t119,inspect,m13,m13_s2,segment,r3,greedy,2026-01-01T08:09:08.35,e315,2026-01-01T08:20:15.87,2026-01-01T08:20:27.37
t121,inspect,m13,m13_s3,segment,r7,greedy,2026-01-01T08:09:08.35,e319,2026-01-01T08:21:25.37,2026-01-01T08:21:35.96
t27,spray,m3,m3_s3,segment,r2,greedy,2026-01-01T08:09:25.18,e323,2026-01-01T08:12:19.52,2026-01-01T08:12:40.21
t126,inspect,m14,m14_s1,segment,r3,greedy,2026-01-01T08:09:40.34,e327,2026-01-01T08:21:25.86,2026-01-01T08:21:39.60
t128,inspect,m14,m14_s2,segment,r5,greedy,2026-01-01T08:09:40.34,e331,2026-01-01T08:21:51.60,2026-01-01T08:22:02.75
t131,inspect,m14,m14_s3,segment,r1,greedy,2026-01-01T08:09:40.34,e335,2026-01-01T08:22:25.31,2026-01-01T08:22:37.31
t63,harvest,m7,m7_s2,segment,r4,greedy,2026-01-01T08:09:54.61,e340,2026-01-01T08:14:28.00,2026-01-01T08:14:50.85
t22,spray,m3,m3_s1,segment,r6,greedy,2026-01-01T08:09:56.84,e344,2026-01-01T08:11:46.01,2026-01-01T08:12:02.90
t25,harvest,m3,m3_s2,segment,r8,greedy,2026-01-01T08:10:43.97,e349,2026-01-01T08:15:13.02,2026-01-01T08:15:36.44
t135,inspect,m15,m15_s1,segment,r7,greedy,2026-01-01T08:10:50.43,e353,2026-01-01T08:22:23.73,2026-01-01T08:22:35.08
t138,inspect,m15,m15_s2,segment,r3,greedy,2026-01-01T08:10:50.43,e357,2026-01-01T08:22:27.99,2026-01-01T08:22:40.14
t140,inspect,m15,m15_s3,segment,r5,greedy,2026-01-01T08:10:50.43,e361,2026-01-01T08:24:22.33,2026-01-01T08:24:33.75
t19,final_inspection,m2,,mission,r3,greedy,2026-01-01T08:10:55.70,e365,2026-01-01T08:23:39.91,2026-01-01T08:23:49.04
t60,spray,m7,m7_s1,segment,r6,greedy,2026-01-01T08:11:00.55,e369,2026-01-01T08:13:29.93,2026-01-01T08:13:45.89
t145,inspect,m16,m16_s1,segment,r1,greedy,2026-01-01T08:11:14.46,e373,2026-01-01T08:23:30.89,2026-01-01T08:23:40.89
t147,inspect,m16,m16_s2,segment,r7,greedy,2026-01-01T08:11:14.46,e377,2026-01-01T08:25:09.66,2026-01-01T08:25:19.86
t150,inspect,m16,m16_s3,segment,r3,greedy,2026-01-01T08:11:14.46,e381,2026-01-01T08:25:11.11,2026-01-01T08:25:23.09
t65,spray,m7,m7_s3,segment,r2,greedy,2026-01-01T08:11:48.21,e385,2026-01-01T08:14:07.30,2026-01-01T08:14:26.86
t35,harvest,m4,m4_s2,segment,r4,greedy,2026-01-01T08:11:55.88,e390,2026-01-01T08:15:28.24,2026-01-01T08:15:52.61
t23,harvest,m3,m3_s1,segment,r4,greedy,2026-01-01T08:12:02.90,e395,2026-01-01T08:17:05.33,2026-01-01T08:17:26.94
