objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
mission,r8,e307,e349,m5,m3
mission,r8,e412,e464,m3,m6
mission,r8,e464,e478,m6,m9
mission,r8,e478,e494,m9,m7
mission,r8,e494,e513,m7,m9
mission,r8,e513,e518,m9,m8
mission,r8,e536,e554,m8,m10
mission,r8,e554,e585,m10,m11
mission,r8,e585,e655,m11,m16
mission,r8,e710,e734,m16,m18
mission,r8,e734,e769,m18,m17
mission,r8,e769,e793,m17,m19
segment,r1,e108,e128,m3_s1,m7_s3
segment,r1,e128,e169,m7_s3,m6_s1
segment,r1,e169,e201,m6_s1,m9_s1
segment,r1,e201,e221,m9_s1,m8_s3
segment,r1,e221,e263,m8_s3,m11_s3
segment,r1,e263,e290,m11_s3,m12_s1
segment,r1,e290,e311,m12_s1,m13_s1
segment,r1,e311,e335,m13_s1,m14_s3
segment,r1,e335,e373,m14_s3,m16_s1
segment,r1,e373,e399,m16_s1,m17_s1
segment,r1,e399,e425,m17_s1,m18_s2
segment,r1,e425,e455,m18_s2,m20_s2
segment,r1,e568,e620,m12_s1,m14_s1
segment,r1,e620,e638,m14_s1,m15_s2
segment,r1,e638,e664,m15_s2,m13_s1
segment,r1,e664,e687,m13_s1,m16_s3
segment,r1,e687,e692,m16_s3,m15_s1
segment,r1,e692,e720,m15_s1,m15_s3
segment,r1,e720,e788,m15_s3,m18_s2
segment,r1,e76,e108,m5_s3,m3_s1
segment,r2,e157,e225,m1_s1,m5_s1
segment,r2,e225,e272,m5_s1,m5_s3
segment,r2,e272,e302,m5_s3,m4_s2
segment,r2,e302,e323,m4_s2,m3_s3
segment,r2,e323,e385,m3_s3,m7_s3
segment,r2,e385,e473,m7_s3,m9_s1
segment,r2,e473,e531,m9_s1,m9_s3
segment,r2,e531,e563,m9_s3,m11_s1
segment,r2,e563,e607,m11_s1,m12_s2
segment,r2,e607,e624,m12_s2,m14_s2
segment,r2,e624,e682,m14_s2,m16_s2
segment,r2,e682,e696,m16_s2,m17_s1
segment,r2,e696,e729,m17_s1,m19_s1
segment,r2,e729,e760,m19_s1,m19_s3
segment,r3,e205,e213,m9_s2,m8_s1
segment,r3,e213,e237,m8_s1,m10_s2
segment,r3,e237,e259,m10_s2,m11_s2
segment,r3,e259,e315,m11_s2,m13_s2
segment,r3,e28,e52,m1_s2,m2_s3
segment,r3,e315,e327,m13_s2,m14_s1
segment,r3,e327,e357,m14_s1,m15_s2
segment,r3,e381,e407,m16_s3,m17_s3
segment,r3,e407,e437,m17_s3,m19_s2
segment,r3,e437,e459,m19_s2,m20_s3
segment,r3,e72,e92,m5_s2,m4_s3
segment,r4,e182,e197,m2_s1,m2_s3
segment,r4,e197,e246,m2_s3,m5_s1
segment,r4,e246,e251,m5_s1,m5_s2
segment,r4,e251,e268,m5_s2,m4_s1
segment,r4,e268,e286,m4_s1,m4_s3
segment,r4,e286,e340,m4_s3,m7_s2
segment,r4,e340,e390,m7_s2,m4_s2
segment,r4,e390,e395,m4_s2,m3_s1
segment,r4,e395,e417,m3_s1,m6_s1
segment,r4,e417,e469,m6_s1,m7_s1
segment,r4,e469,e499,m7_s1,m6_s2
segment,r4,e499,e508,m6_s2,m8_s1
segment,r4,e508,e527,m8_s1,m10_s1
segment,r4,e527,e545,m10_s1,m9_s3
segment,r4,e545,e559,m9_s3,m10_s2
segment,r4,e559,e590,m10_s2,m12_s3
segment,r4,e590,e598,m12_s3,m11_s1
segment,r4,e598,e673,m11_s1,m13_s3
segment,r4,e673,e678,m13_s3,m14_s2
segment,r4,e678,e715,m14_s2,m18_s1
segment,r4,e715,e725,m18_s1,m19_s2
segment,r4,e725,e752,m19_s2,m20_s3
segment,r4,e752,e779,m20_s3,m19_s1
segment,r5,e173,e217,m6_s2,m8_s2
segment,r5,e217,e233,m8_s2,m10_s1
segment,r5,e233,e255,m10_s1,m11_s1
segment,r5,e255,e294,m11_s1,m12_s2
segment,r5,e294,e331,m12_s2,m14_s2
segment,r5,e331,e361,m14_s2,m15_s3
segment,r5,e361,e421,m15_s3,m18_s1
segment,r5,e421,e433,m18_s1,m19_s1
segment,r5,e433,e448,m19_s1,m20_s1
segment,r5,e448,e573,m20_s1,m11_s2
segment,r5,e573,e603,m11_s2,m13_s2
segment,r5,e603,e633,m13_s2,m14_s3
segment,r5,e633,e647,m14_s3,m12_s2
segment,r5,e647,e705,m12_s2,m17_s2
segment,r5,e705,e747,m17_s2,m17_s1
segment,r5,e747,e774,m17_s1,m20_s1
segment,r5,e774,e798,m20_s1,m20_s2
segment,r6,e165,e229,m1_s3,m2_s2
segment,r6,e229,e344,m2_s2,m3_s1
segment,r6,e344,e369,m3_s1,m7_s1
segment,r6,e369,e489,m7_s1,m6_s2
segment,r6,e489,e503,m6_s2,m8_s2
segment,r6,e503,e540,m8_s2,m10_s2
segment,r6,e540,e549,m10_s2,m11_s3
segment,r6,e549,e611,m11_s3,m13_s1
segment,r6,e611,e615,m13_s1,m13_s3
segment,r6,e615,e628,m13_s3,m15_s1
segment,r6,e628,e668,m15_s1,m15_s3
segment,r6,e668,e700,m15_s3,m17_s3
segment,r6,e700,e742,m17_s3,m18_s2
segment,r6,e742,e764,m18_s2,m20_s2
segment,r7,e116,e124,m3_s3,m7_s2
segment,r7,e177,e209,m6_s3,m9_s3
segment,r7,e209,e241,m9_s3,m10_s3
segment,r7,e24,e48,m1_s1,m2_s2
segment,r7,e298,e319,m12_s3,m13_s3
segment,r7,e319,e353,m13_s3,m15_s1
segment,r7,e353,e377,m15_s1,m16_s2
segment,r7,e377,e403,m16_s2,m17_s2
segment,r7,e403,e429,m17_s2,m18_s3
segment,r7,e429,e441,m18_s3,m19_s3
segment,r7,e48,e88,m2_s2,m4_s2
segment,r7,e88,e116,m4_s2,m3_s3
segment,r8,e149,e187,m1_s2,m1_s1
segment,r8,e187,e192,m1_s1,m1_s3
segment,r8,e192,e281,m1_s3,m2_s2
segment,r8,e281,e307,m2_s2,m5_s3
segment,r8,e307,e349,m5_s3,m3_s2
segment,r8,e349,e412,m3_s2,m3_s3
segment,r8,e412,e464,m3_s3,m6_s3
segment,r8,e464,e478,m6_s3,m9_s2
segment,r8,e478,e494,m9_s2,m7_s3
segment,r8,e494,e513,m7_s3,m9_s1
segment,r8,e513,e518,m9_s1,m8_s2
segment,r8,e518,e536,m8_s2,m8_s3
segment,r8,e536,e554,m8_s3,m10_s3
segment,r8,e554,e585,m10_s3,m11_s3
segment,r8,e585,e655,m11_s3,m16_s1
segment,r8,e655,e710,m16_s1,m16_s2
segment,r8,e710,e734,m16_s2,m18_s3
segment,r8,e734,e769,m18_s3,m17_s3
segment,r8,e769,e793,m17_s3,m19_s3
