objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
mission,m9,e473,e209,r2,r7
mission,m9,e513,e545,r8,r4
mission,m9,e531,e478,r2,r8
mission,m9,e545,e756,r4,r3
mission,m9,e60,e201,r5,r1
mission,m9,e60,e205,r5,r3
segment,m10_s1,e233,e527,r5,r4
segment,m10_s2,e237,e540,r3,r6
segment,m10_s2,e540,e559,r6,r4
segment,m10_s3,e241,e554,r7,r8
segment,m11_s1,e255,e563,r5,r2
segment,m11_s1,e563,e598,r2,r4
segment,m11_s2,e259,e573,r3,r5
segment,m11_s3,e263,e549,r1,r6
segment,m11_s3,e549,e585,r6,r8
segment,m12_s2,e294,e607,r5,r2
segment,m12_s2,e607,e647,r2,r5
segment,m12_s3,e298,e590,r7,r4
segment,m13_s1,e311,e611,r1,r6
segment,m13_s1,e611,e664,r6,r1
segment,m13_s2,e315,e603,r3,r5
segment,m13_s3,e319,e615,r7,r6
segment,m13_s3,e615,e673,r6,r4
segment,m14_s1,e327,e620,r3,r1
segment,m14_s2,e331,e624,r5,r2
segment,m14_s2,e624,e678,r2,r4
segment,m14_s3,e335,e633,r1,r5
segment,m15_s1,e353,e628,r7,r6
segment,m15_s1,e628,e692,r6,r1
segment,m15_s2,e357,e638,r3,r1
segment,m15_s3,e361,e668,r5,r6
segment,m15_s3,e668,e720,r6,r1
segment,m16_s1,e373,e655,r1,r8
segment,m16_s2,e377,e682,r7,r2
segment,m16_s2,e682,e710,r2,r8
segment,m16_s3,e381,e687,r3,r1
segment,m17_s1,e399,e696,r1,r2
segment,m17_s1,e696,e747,r2,r5
segment,m17_s2,e403,e705,r7,r5
segment,m17_s3,e407,e700,r3,r6
segment,m17_s3,e700,e769,r6,r8
segment,m18_s1,e421,e715,r5,r4
segment,m18_s2,e425,e742,r1,r6
segment,m18_s2,e742,e788,r6,r1
segment,m18_s3,e429,e734,r7,r8
segment,m19_s1,e433,e729,r5,r2
segment,m19_s1,e729,e779,r2,r4
segment,m19_s2,e437,e725,r3,r4
segment,m19_s3,e441,e760,r7,r2
segment,m19_s3,e760,e793,r2,r8
segment,m1_s1,e157,e187,r2,r8
segment,m1_s1,e24,e157,r7,r2
segment,m1_s2,e28,e149,r3,r8
segment,m1_s3,e165,e192,r6,r8
segment,m1_s3,e32,e165,r1,r6
segment,m20_s2,e455,e764,r1,r6
segment,m20_s2,e764,e798,r6,r5
segment,m20_s3,e459,e752,r3,r4
segment,m2_s1,e44,e182,r5,r4
segment,m2_s2,e229,e281,r6,r8
segment,m2_s2,e48,e229,r7,r6
segment,m2_s3,e52,e197,r3,r4
segment,m3_s1,e108,e344,r1,r6
segment,m3_s1,e344,e395,r6,r4
segment,m3_s2,e112,e349,r3,r8
segment,m3_s3,e116,e323,r7,r2
segment,m3_s3,e323,e412,r2,r8
segment,m4_s1,e84,e268,r5,r4
segment,m4_s2,e302,e390,r2,r4
segment,m4_s2,e88,e302,r7,r2
segment,m4_s3,e92,e286,r3,r4
segment,m5_s1,e225,e246,r2,r4
segment,m5_s1,e68,e225,r5,r2
segment,m5_s2,e72,e251,r3,r4
segment,m5_s3,e272,e307,r2,r8
segment,m5_s3,e76,e272,r1,r2
segment,m6_s1,e169,e417,r1,r4
segment,m6_s2,e173,e489,r5,r6
segment,m6_s2,e489,e499,r6,r4
segment,m6_s3,e177,e464,r7,r8
segment,m7_s1,e120,e369,r5,r6
