pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,mission,m18,e425,e742,r1,r6,,,,,,,,,,,,,,
handover,mission,m18,e429,e425,r7,r1,,,,,,,,,,,,,,
handover,mission,m18,e715,e734,r4,r8,,,,,,,,,,,,,,
handover,mission,m18,e734,e788,r8,r1,,,,,,,,,,,,,,
handover,mission,m18,e742,e715,r6,r4,,,,,,,,,,,,,,
handover,mission,m19,e153,e437,r5,r3,,,,,,,,,,,,,,
handover,mission,m19,e433,e441,r5,r7,,,,,,,,,,,,,,
handover,mission,m19,e437,e441,r3,r7,,,,,,,,,,,,,,
handover,mission,m19,e441,e729,r7,r2,,,,,,,,,,,,,,
handover,mission,m19,e760,e725,r2,r4,,,,,,,,,,,,,,
handover,mission,m19,e779,e793,r4,r8,,,,,,,,,,,,,,
handover,mission,m19,e793,e838,r8,r1,,,,,,,,,,,,,,
handover,mission,m2,e182,e48,r4,r7,,,,,,,,,,,,,,
handover,mission,m2,e197,e229,r4,r6,,,,,,,,,,,,,,
handover,mission,m2,e229,e281,r6,r8,,,,,,,,,,,,,,
handover,mission,m2,e281,e365,r8,r3,,,,,,,,,,,,,,
handover,mission,m2,e44,e182,r5,r4,,,,,,,,,,,,,,
handover,mission,m2,e44,e52,r5,r3,,,,,,,,,,,,,,
handover,mission,m2,e48,e197,r7,r4,,,,,,,,,,,,,,
handover,mission,m2,e52,e48,r3,r7,,,,,,,,,,,,,,
handover,mission,m2,e8,e44,r3,r5,,,,,,,,,,,,,,
handover,mission,m20,e448,e764,r5,r6,,,,,,,,,,,,,,
handover,mission,m20,e455,e448,r1,r5,,,,,,,,,,,,,,
handover,mission,m20,e459,e455,r3,r1,,,,,,,,,,,,,,
handover,mission,m20,e764,e752,r6,r4,,,,,,,,,,,,,,
handover,mission,m20,e764,e774,r6,r5,,,,,,,,,,,,,,
handover,mission,m20,e798,e834,r5,r3,,,,,,,,,,,,,,
handover,mission,m3,e108,e112,r1,r3,,,,,,,,,,,,,,
handover,mission,m3,e112,e344,r3,r6,,,,,,,,,,,,,,
handover,mission,m3,e116,e108,r7,r1,,,,,,,,,,,,,,
handover,mission,m3,e12,e116,r1,r7,,,,,,,,,,,,,,
handover,mission,m3,e323,e349,r2,r8,,,,,,,,,,,,,,
handover,mission,m3,e344,e323,r6,r2,,,,,,,,,,,,,,
handover,mission,m3,e349,e395,r8,r4,,,,,,,,,,,,,,
handover,mission,m3,e395,e412,r4,r8,,,,,,,,,,,,,,
handover,mission,m3,e412,e580,r8,r7,,,,,,,,,,,,,,
handover,mission,m4,e268,e302,r4,r2,,,,,,,,,,,,,,
handover,mission,m4,e302,e286,r2,r4,,,,,,,,,,,,,,
handover,mission,m4,e390,e522,r4,r1,,,,,,,,,,,,,,
handover,mission,m4,e84,e92,r5,r3,,,,,,,,,,,,,,
handover,mission,m4,e88,e268,r7,r4,,,,,,,,,,,,,,
handover,mission,m4,e92,e88,r3,r7,,,,,,,,,,,,,,
handover,mission,m5,e20,e68,r7,r5,,,,,,,,,,,,,,
handover,mission,m5,e225,e76,r2,r1,,,,,,,,,,,,,,
handover,mission,m5,e246,e272,r4,r2,,,,,,,,,,,,,,
handover,mission,m5,e251,e307,r4,r8,,,,,,,,,,,,,,
handover,mission,m5,e272,e251,r2,r4,,,,,,,,,,,,,,
handover,mission,m5,e307,e485,r8,r3,,,,,,,,,,,,,,
handover,mission,m5,e68,e225,r5,r2,,,,,,,,,,,,,,
handover,mission,m5,e68,e72,r5,r3,,,,,,,,,,,,,,
handover,mission,m5,e72,e76,r3,r1,,,,,,,,,,,,,,
handover,mission,m5,e76,e246,r1,r4,,,,,,,,,,,,,,
handover,mission,m6,e169,e177,r1,r7,,,,,,,,,,,,,,
handover,mission,m6,e173,e489,r5,r6,,,,,,,,,,,,,,
handover,mission,m6,e177,e173,r7,r5,,,,,,,,,,,,,,
handover,mission,m6,e417,e464,r4,r8,,,,,,,,,,,,,,
handover,mission,m6,e464,e499,r8,r4,,,,,,,,,,,,,,
handover,mission,m6,e489,e417,r6,r4,,,,,,,,,,,,,,
handover,mission,m6,e499,e642,r4,r7,,,,,,,,,,,,,,
handover,mission,m7,e120,e128,r5,r1,,,,,,,,,,,,,,
handover,mission,m7,e124,e120,r7,r5,,,,,,,,,,,,,,
handover,mission,m7,e128,e369,r1,r6,,,,,,,,,,,,,,
handover,mission,m7,e369,e385,r6,r2,,,,,,,,,,,,,,
handover,mission,m7,e385,e340,r2,r4,,,,,,,,,,,,,,
handover,mission,m7,e40,e124,r5,r7,,,,,,,,,,,,,,
handover,mission,m7,e469,e494,r4,r8,,,,,,,,,,,,,,
handover,mission,m7,e494,e659,r8,r3,,,,,,,,,,,,,,
handover,mission,m8,e213,e503,r3,r6,,,,,,,,,,,,,,
handover,mission,m8,e217,e503,r5,r6,,,,,,,,,,,,,,
handover,mission,m8,e221,e508,r1,r4,,,,,,,,,,,,,,
handover,mission,m8,e503,e221,r6,r1,,,,,,,,,,,,,,
handover,mission,m8,e508,e518,r4,r8,,,,,,,,,,,,,,
handover,mission,m8,e536,e738,r8,r7,,,,,,,,,,,,,,
handover,mission,m8,e56,e213,r1,r3,,,,,,,,,,,,,,
handover,mission,m8,e56,e217,r1,r5,,,,,,,,,,,,,,
handover,mission,m9,e201,e473,r1,r2,,,,,,,,,,,,,,
handover,mission,m9,e205,e473,r3,r2,,,,,,,,,,,,,,
handover,mission,m9,e209,e531,r7,r2,,,,,,,,,,,,,,
handover,mission,m9,e473,e209,r2,r7,,,,,,,,,,,,,,
handover,mission,m9,e513,e545,r8,r4,,,,,,,,,,,,,,
handover,mission,m9,e531,e478,r2,r8,,,,,,,,,,,,,,
handover,mission,m9,e545,e756,r4,r3,,,,,,,,,,,,,,
handover,mission,m9,e60,e201,r5,r1,,,,,,,,,,,,,,
handover,mission,m9,e60,e205,r5,r3,,,,,,,,,,,,,,
handover,segment,m10_s1,e233,e527,r5,r4,,,,,,,,,,,,,,
handover,segment,m10_s2,e237,e540,r3,r6,,,,,,,,,,,,,,
handover,segment,m10_s2,e540,e559,r6,r4,,,,,,,,,,,,,,
handover,segment,m10_s3,e241,e554,r7,r8,,,,,,,,,,,,,,
handover,segment,m11_s1,e255,e563,r5,r2,,,,,,,,,,,,,,
handover,segment,m11_s1,e563,e598,r2,r4,,,,,,,,,,,,,,
handover,segment,m11_s2,e259,e573,r3,r5,,,,,,,,,,,,,,
handover,segment,m11_s3,e263,e549,r1,r6,,,,,,,,,,,,,,
handover,segment,m11_s3,e549,e585,r6,r8,,,,,,,,,,,,,,
handover,segment,m12_s2,e294,e607,r5,r2,,,,,,,,,,,,,,
handover,segment,m12_s2,e607,e647,r2,r5,,,,,,,,,,,,,,
handover,segment,m12_s3,e298,e590,r7,r4,,,,,,,,,,,,,,
handover,segment,m13_s1,e311,e611,r1,r6,,,,,,,,,,,,,,
handover,segment,m13_s1,e611,e664,r6,r1,,,,,,,,,,,,,,
handover,segment,m13_s2,e315,e603,r3,r5,,,,,,,,,,,,,,
handover,segment,m13_s3,e319,e615,r7,r6,,,,,,,,,,,,,,
handover,segment,m13_s3,e615,e673,r6,r4,,,,,,,,,,,,,,
handover,segment,m14_s1,e327,e620,r3,r1,,,,,,,,,,,,,,
