event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e685,Control,enter_room,26:01:01T08:26:24.86,26:01:01T08:26:27.26,r7,,,
e750,Task,disinfect,26:01:01T08:26:25.15,26:01:01T08:26:39.80,r8,m13,m13_s1,t112
e698,Control,recharge,26:01:01T08:26:26.22,26:01:01T08:26:56.22,r3,,,
e686,Control,position,26:01:01T08:26:27.26,26:01:01T08:26:28.95,r7,,,
e687,Control,clean_path,26:01:01T08:26:28.95,26:01:01T08:26:37.80,r7,,,
e755,Control,navigate,26:01:01T08:26:37.64,26:01:01T08:27:57.89,r4,,,
e688,Task,mop,26:01:01T08:26:37.80,26:01:01T08:27:00.73,r7,m17,m17_s3,t153
e751,Control,navigate,26:01:01T08:26:39.80,26:01:01T08:27:29.35,r8,,,
e680,Control,enter_room,26:01:01T08:26:45.73,26:01:01T08:26:47.37,r6,,,
e681,Control,position,26:01:01T08:26:47.37,26:01:01T08:26:49.09,r6,,,
e682,Control,clean_path,26:01:01T08:26:49.09,26:01:01T08:26:57.29,r6,,,
e706,Control,enter_room,26:01:01T08:26:53.82,26:01:01T08:26:56.01,r2,,,
e707,Control,position,26:01:01T08:26:56.01,26:01:01T08:26:58.37,r2,,,
e699,Control,undock,26:01:01T08:26:56.22,26:01:01T08:26:58.22,r3,,,
e683,Task,mop,26:01:01T08:26:57.29,26:01:01T08:27:17.57,r6,m16,m16_s2,t141
e700,Control,navigate,26:01:01T08:26:58.22,26:01:01T08:27:33.89,r3,,,
e708,Control,clean_path,26:01:01T08:26:58.37,26:01:01T08:27:05.43,r2,,,
e710,Control,dock,26:01:01T08:27:00.73,26:01:01T08:27:02.73,r7,,,
e711,Control,recharge,26:01:01T08:27:02.73,26:01:01T08:27:32.73,r7,,,
e709,Task,mop,26:01:01T08:27:05.43,26:01:01T08:27:24.89,r2,m19,m19_s1,t165
e722,Control,navigate,26:01:01T08:27:17.57,26:01:01T08:27:51.51,r6,,,
e752,Control,enter_room,26:01:01T08:27:29.35,26:01:01T08:27:31.05,r8,,,
e753,Control,position,26:01:01T08:27:31.05,26:01:01T08:27:33.20,r8,,,
e712,Control,undock,26:01:01T08:27:32.73,26:01:01T08:27:34.73,r7,,,
e754,Task,disinfect,26:01:01T08:27:33.20,26:01:01T08:27:50.48,r8,m15,m15_s3,t136
e701,Control,enter_room,26:01:01T08:27:33.89,26:01:01T08:27:36.28,r3,,,
e713,Control,navigate,26:01:01T08:27:34.73,26:01:01T08:28:23.65,r7,,,
e702,Control,position,26:01:01T08:27:36.28,26:01:01T08:27:38.12,r3,,,
e703,Control,clean_path,26:01:01T08:27:38.12,26:01:01T08:27:46.51,r3,,,
e704,Task,mop,26:01:01T08:27:46.51,26:01:01T08:28:09.48,r3,m18,m18_s2,t159
e759,Control,navigate,26:01:01T08:27:50.48,26:01:01T08:28:31.92,r8,,,
e723,Control,enter_room,26:01:01T08:27:51.51,26:01:01T08:27:53.35,r6,,,
e724,Control,position,26:01:01T08:27:53.35,26:01:01T08:27:55.13,r6,,,
e725,Control,clean_path,26:01:01T08:27:55.13,26:01:01T08:28:03.80,r6,,,
e756,Control,enter_room,26:01:01T08:27:57.89,26:01:01T08:28:00.24,r4,,,
e757,Control,position,26:01:01T08:28:00.24,26:01:01T08:28:02.24,r4,,,
e758,Task,disinfect,26:01:01T08:28:02.24,26:01:01T08:28:18.20,r4,m15,m15_s1,t130
e726,Task,mop,26:01:01T08:28:03.80,26:01:01T08:28:27.58,r6,m20,m20_s2,t177
e763,Control,navigate,26:01:01T08:28:18.20,26:01:01T08:28:42.07,r4,,,
e714,Control,enter_room,26:01:01T08:28:23.65,26:01:01T08:28:25.78,r7,,,
e715,Control,position,26:01:01T08:28:25.78,26:01:01T08:28:27.50,r7,,,
e716,Control,clean_path,26:01:01T08:28:27.50,26:01:01T08:28:34.46,r7,,,
e760,Control,enter_room,26:01:01T08:28:31.92,26:01:01T08:28:33.59,r8,,,
e761,Control,position,26:01:01T08:28:33.59,26:01:01T08:28:35.22,r8,,,
e717,Task,mop,26:01:01T08:28:34.46,26:01:01T08:28:52.72,r7,m19,m19_s3,t171
e762,Task,disinfect,26:01:01T08:28:35.22,26:01:01T08:28:50.78,r8,m17,m17_s1,t148
e764,Control,enter_room,26:01:01T08:28:42.07,26:01:01T08:28:43.93,r4,,,
e765,Control,position,26:01:01T08:28:43.93,26:01:01T08:28:45.73,r4,,,
e766,Task,disinfect,26:01:01T08:28:45.73,26:01:01T08:28:59.11,r4,m17,m17_s3,t154
e771,Control,navigate,26:01:01T08:28:50.78,26:01:01T08:29:32.44,r8,,,
e767,Control,navigate,26:01:01T08:28:59.11,26:01:01T08:29:27.20,r4,,,
e768,Control,enter_room,26:01:01T08:29:27.20,26:01:01T08:29:29.57,r4,,,
e769,Control,position,26:01:01T08:29:29.57,26:01:01T08:29:31.84,r4,,,
e770,Task,disinfect,26:01:01T08:29:31.84,26:01:01T08:29:48.32,r4,m16,m16_s2,t142
e772,Control,enter_room,26:01:01T08:29:32.44,26:01:01T08:29:34.80,r8,,,
e773,Control,position,26:01:01T08:29:34.80,26:01:01T08:29:37.20,r8,,,
e774,Task,disinfect,26:01:01T08:29:37.20,26:01:01T08:29:54.31,r8,m19,m19_s1,t166
e775,Control,navigate,26:01:01T08:29:48.32,26:01:01T08:30:29.67,r4,,,
e779,Control,navigate,26:01:01T08:29:54.31,26:01:01T08:31:20.39,r8,,,
