event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e729,Control,navigate,26:01:01T08:24:37.45,26:01:01T08:24:47.68,r4,,,
e721,Control,enter_room,26:01:01T08:24:43.30,26:01:01T08:24:45.46,r8,,,
e722,Control,position,26:01:01T08:24:45.46,26:01:01T08:24:47.43,r8,,,
e723,Task,disinfect,26:01:01T08:24:47.43,26:01:01T08:25:04.63,r8,m10,m10_s2,t88
e730,Control,enter_room,26:01:01T08:24:47.68,26:01:01T08:24:50.03,r4,,,
e731,Control,position,26:01:01T08:24:50.03,26:01:01T08:24:51.97,r4,,,
e732,Task,disinfect,26:01:01T08:24:51.97,26:01:01T08:25:08.25,r4,m13,m13_s3,t118
e656,Control,enter_room,26:01:01T08:24:59.02,26:01:01T08:25:00.84,r3,,,
e657,Control,position,26:01:01T08:25:00.84,26:01:01T08:25:03.21,r3,,,
e658,Control,clean_path,26:01:01T08:25:03.21,26:01:01T08:25:11.39,r3,,,
e733,Control,navigate,26:01:01T08:25:04.63,26:01:01T08:25:43.54,r8,,,
e737,Control,navigate,26:01:01T08:25:08.25,26:01:01T08:25:26.68,r4,,,
e666,Control,enter_room,26:01:01T08:25:09.18,26:01:01T08:25:11.24,r2,,,
e667,Control,position,26:01:01T08:25:11.24,26:01:01T08:25:13.21,r2,,,
e659,Task,mop,26:01:01T08:25:11.39,26:01:01T08:25:35.12,r3,m13,m13_s1,t111
e668,Control,clean_path,26:01:01T08:25:13.21,26:01:01T08:25:21.02,r2,,,
e661,Control,enter_room,26:01:01T08:25:19.05,26:01:01T08:25:20.75,r7,,,
e662,Control,position,26:01:01T08:25:20.75,26:01:01T08:25:23.04,r7,,,
e669,Task,mop,26:01:01T08:25:21.02,26:01:01T08:25:40.25,r2,m15,m15_s3,t135
e663,Control,clean_path,26:01:01T08:25:23.04,26:01:01T08:25:31.01,r7,,,
e738,Control,enter_room,26:01:01T08:25:26.68,26:01:01T08:25:28.34,r4,,,
e739,Control,position,26:01:01T08:25:28.34,26:01:01T08:25:30.07,r4,,,
e679,Control,enter_room,26:01:01T08:25:28.85,26:01:01T08:25:30.96,r6,,,
e740,Task,disinfect,26:01:01T08:25:30.07,26:01:01T08:25:44.84,r4,m14,m14_s2,t124
e680,Control,position,26:01:01T08:25:30.96,26:01:01T08:25:32.60,r6,,,
e664,Task,mop,26:01:01T08:25:31.01,26:01:01T08:25:56.29,r7,m15,m15_s1,t129
e681,Control,clean_path,26:01:01T08:25:32.60,26:01:01T08:25:39.48,r6,,,
