perspective_type,perspective_id,source_event_id,source_task_id,source_robot_id,target_event_id,target_task_id,target_robot_id
mission,m20,e747,t186,r2,e717,t189,r4
mission,m20,e747,t186,r2,e733,t184,r5
mission,m20,e717,t189,r4,e784,t187,r5
mission,m20,e733,t184,r5,e784,t187,r5
mission,m20,e784,t187,r5,e826,t190,r7
mission,m3,e12,t20,r1,e116,t26,r5
mission,m3,e116,t26,r5,e112,t24,r1
mission,m3,e112,t24,r1,e297,t27,r2
mission,m3,e297,t27,r2,e108,t21,r7
mission,m3,e108,t21,r7,e387,t22,r2
mission,m3,e108,t21,r7,e302,t25,r8
mission,m3,e387,t22,r2,e366,t28,r8
mission,m3,e302,t25,r8,e366,t28,r8
mission,m3,e366,t28,r8,e458,t23,r4
mission,m3,e458,t23,r4,e640,t29,r7
mission,m4,e16,t30,r5,e92,t36,r7
mission,m4,e92,t36,r7,e84,t31,r3
mission,m4,e84,t31,r3,e88,t33,r5
mission,m4,e88,t33,r5,e293,t34,r2
mission,m4,e293,t34,r2,e263,t37,r4
mission,m4,e263,t37,r4,e277,t32,r8
mission,m4,e277,t32,r8,e341,t35,r4
mission,m4,e341,t35,r4,e519,t38,r5
mission,m5,e20,t39,r7,e72,t43,r3
mission,m5,e20,t39,r7,e68,t40,r5
mission,m5,e72,t43,r3,e76,t45,r1
mission,m5,e68,t40,r5,e76,t45,r1
mission,m5,e76,t45,r1,e237,t44,r4
mission,m5,e237,t44,r4,e241,t41,r6
mission,m5,e241,t41,r6,e272,t46,r6
mission,m5,e272,t46,r6,e324,t42,r8
mission,m5,e324,t42,r8,e383,t47,r4
mission,m5,e383,t47,r4,e576,t48,r3
mission,m6,e36,t49,r1,e181,t55,r7
mission,m6,e181,t55,r7,e173,t50,r3
mission,m6,e173,t50,r3,e177,t52,r1
mission,m6,e177,t52,r1,e472,t53,r2
mission,m6,e472,t53,r2,e440,t56,r8
mission,m6,e440,t56,r8,e463,t51,r8
mission,m6,e463,t51,r8,e495,t54,r8
mission,m6,e495,t54,r8,e724,t57,r3
mission,m7,e40,t58,r5,e124,t62,r5
mission,m7,e124,t62,r5,e120,t59,r1
mission,m7,e120,t59,r1,e128,t64,r3
mission,m7,e120,t59,r1,e345,t60,r6
mission,m7,e128,t64,r3,e444,t65,r6
mission,m7,e345,t60,r6,e444,t65,r6
mission,m7,e444,t65,r6,e319,t63,r4
mission,m7,e319,t63,r4,e449,t61,r8
mission,m7,e449,t61,r8,e481,t66,r8
mission,m7,e481,t66,r8,e685,t67,r7
mission,m8,e56,t68,r5,e203,t74,r7
mission,m8,e203,t74,r7,e199,t71,r5
mission,m8,e199,t71,r5,e476,t72,r2
mission,m8,e476,t72,r2,e195,t69,r1
mission,m8,e195,t69,r1,e468,t75,r4
mission,m8,e468,t75,r4,e510,t73,r8
mission,m8,e510,t73,r8,e515,t70,r8
mission,m8,e515,t70,r8,e774,t76,r3
mission,m9,e60,t77,r7,e228,t81,r5
mission,m9,e228,t81,r5,e224,t78,r3
mission,m9,e224,t78,r3,e232,t83,r7
mission,m9,e232,t83,r7,e523,t79,r6
mission,m9,e523,t79,r6,e536,t84,r6
mission,m9,e536,t84,r6,e505,t82,r4
mission,m9,e505,t82,r4,e581,t85,r4
mission,m9,e505,t82,r4,e558,t80,r1
mission,m9,e581,t85,r4,e798,t86,r7
mission,m9,e558,t80,r1,e798,t86,r7
segment,m10_s1,e212,t88,r7,e500,t89,r4
segment,m10_s2,e216,t90,r5,e485,t91,r6
segment,m10_s2,e485,t91,r6,e528,t92,r4
segment,m10_s3,e220,t93,r3,e490,t94,r4
segment,m11_s1,e250,t97,r1,e540,t98,r2
segment,m11_s1,e540,t98,r2,e599,t99,r1
segment,m11_s2,e254,t100,r3,e572,t101,r5
segment,m11_s3,e258,t102,r5,e532,t103,r2
segment,m11_s3,e532,t103,r2,e550,t104,r8
segment,m12_s1,e306,t107,r3,e611,t108,r5
segment,m12_s2,e310,t109,r1,e603,t110,r6
segment,m12_s2,e603,t110,r6,e669,t111,r8
segment,m12_s3,e314,t112,r7,e567,t113,r4
segment,m13_s1,e281,t116,r5,e585,t117,r6
segment,m13_s1,e585,t117,r6,e645,t118,r8
segment,m13_s2,e285,t119,r7,e545,t120,r1
segment,m13_s3,e289,t121,r1,e562,t122,r6
segment,m13_s3,e562,t122,r6,e616,t123,r4
segment,m14_s1,e328,t126,r5,e594,t127,r8
segment,m14_s2,e332,t128,r7,e589,t129,r2
segment,m14_s2,e589,t129,r2,e650,t130,r5
segment,m14_s3,e336,t131,r1,e632,t132,r4
segment,m15_s1,e349,t135,r5,e636,t136,r2
segment,m15_s1,e636,t136,r2,e674,t137,r1
segment,m15_s2,e353,t138,r7,e624,t139,r8
segment,m15_s3,e357,t140,r3,e664,t141,r2
segment,m15_s3,e664,t141,r2,e707,t142,r1
segment,m16_s1,e370,t145,r1,e660,t146,r4
segment,m16_s2,e374,t147,r7,e697,t148,r6
segment,m16_s2,e697,t148,r6,e779,t149,r4
segment,m16_s3,e378,t150,r5,e655,t151,r1
segment,m17_s1,e391,t154,r3,e693,t155,r2
segment,m17_s1,e693,t155,r2,e757,t156,r5
segment,m17_s2,e395,t157,r1,e702,t158,r5
segment,m17_s3,e399,t159,r5,e678,t160,r6
segment,m17_s3,e678,t160,r6,e712,t161,r8
segment,m18_s1,e427,t164,r5,e738,t165,r4
segment,m18_s2,e431,t166,r7,e770,t167,r2
segment,m18_s2,e770,t167,r2,e794,t168,r5
segment,m18_s3,e435,t169,r1,e752,t170,r1
segment,m19_s1,e403,t173,r7,e728,t174,r6
segment,m19_s1,e728,t174,r6,e789,t175,r1
segment,m19_s2,e407,t176,r3,e762,t177,r8
segment,m19_s3,e411,t178,r5,e689,t179,r6
segment,m19_s3,e689,t179,r6,e743,t180,r8
segment,m1_s1,e24,t2,r7,e157,t3,r2
segment,m1_s1,e157,t3,r2,e186,t4,r8
segment,m1_s2,e28,t5,r3,e149,t6,r8
segment,m1_s3,e32,t7,r1,e169,t8,r2
segment,m1_s3,e169,t8,r2,e268,t9,r4
segment,m20_s1,e415,t183,r1,e733,t184,r5
segment,m20_s2,e419,t185,r7,e747,t186,r2
segment,m20_s2,e747,t186,r2,e784,t187,r5
segment,m20_s3,e423,t188,r5,e717,t189,r4
segment,m2_s1,e44,t12,r3,e208,t13,r8
segment,m2_s2,e48,t14,r5,e161,t15,r6
segment,m2_s2,e161,t15,r6,e246,t16,r8
segment,m2_s3,e52,t17,r7,e191,t18,r4
segment,m3_s1,e108,t21,r7,e387,t22,r2
segment,m3_s1,e387,t22,r2,e458,t23,r4
segment,m3_s2,e112,t24,r1,e302,t25,r8
segment,m3_s3,e116,t26,r5,e297,t27,r2
segment,m3_s3,e297,t27,r2,e366,t28,r8
segment,m4_s1,e84,t31,r3,e277,t32,r8
segment,m4_s2,e88,t33,r5,e293,t34,r2
segment,m4_s2,e293,t34,r2,e341,t35,r4
segment,m4_s3,e92,t36,r7,e263,t37,r4
segment,m5_s1,e68,t40,r5,e241,t41,r6
segment,m5_s1,e241,t41,r6,e324,t42,r8
segment,m5_s2,e72,t43,r3,e237,t44,r4
segment,m5_s3,e76,t45,r1,e272,t46,r6
segment,m5_s3,e272,t46,r6,e383,t47,r4
segment,m6_s1,e173,t50,r3,e463,t51,r8
segment,m6_s2,e177,t52,r1,e472,t53,r2
segment,m6_s2,e472,t53,r2,e495,t54,r8
segment,m6_s3,e181,t55,r7,e440,t56,r8
segment,m7_s1,e120,t59,r1,e345,t60,r6
segment,m7_s1,e345,t60,r6,e449,t61,r8
segment,m7_s2,e124,t62,r5,e319,t63,r4
