pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,mission,m19,e411,e403,r5,r7,,,,,,,,,,,,,,
handover,mission,m19,e689,e407,r6,r3,,,,,,,,,,,,,,
handover,mission,m19,e728,e743,r6,r8,,,,,,,,,,,,,,
handover,mission,m2,e161,e208,r6,r8,,,,,,,,,,,,,,
handover,mission,m2,e191,e161,r4,r6,,,,,,,,,,,,,,
handover,mission,m2,e246,e361,r8,r7,,,,,,,,,,,,,,
handover,mission,m2,e44,e191,r3,r4,,,,,,,,,,,,,,
handover,mission,m2,e48,e52,r5,r7,,,,,,,,,,,,,,
handover,mission,m2,e52,e44,r7,r3,,,,,,,,,,,,,,
handover,mission,m2,e8,e48,r3,r5,,,,,,,,,,,,,,
handover,mission,m20,e165,e423,r1,r5,,,,,,,,,,,,,,
handover,mission,m20,e415,e419,r1,r7,,,,,,,,,,,,,,
handover,mission,m20,e419,e747,r7,r2,,,,,,,,,,,,,,
handover,mission,m20,e423,e415,r5,r1,,,,,,,,,,,,,,
handover,mission,m20,e717,e784,r4,r5,,,,,,,,,,,,,,
handover,mission,m20,e747,e717,r2,r4,,,,,,,,,,,,,,
handover,mission,m20,e747,e733,r2,r5,,,,,,,,,,,,,,
handover,mission,m20,e784,e826,r5,r7,,,,,,,,,,,,,,
handover,mission,m3,e108,e302,r7,r8,,,,,,,,,,,,,,
handover,mission,m3,e108,e387,r7,r2,,,,,,,,,,,,,,
handover,mission,m3,e112,e297,r1,r2,,,,,,,,,,,,,,
handover,mission,m3,e116,e112,r5,r1,,,,,,,,,,,,,,
handover,mission,m3,e12,e116,r1,r5,,,,,,,,,,,,,,
handover,mission,m3,e297,e108,r2,r7,,,,,,,,,,,,,,
handover,mission,m3,e366,e458,r8,r4,,,,,,,,,,,,,,
handover,mission,m3,e387,e366,r2,r8,,,,,,,,,,,,,,
handover,mission,m3,e458,e640,r4,r7,,,,,,,,,,,,,,
handover,mission,m4,e16,e92,r5,r7,,,,,,,,,,,,,,
handover,mission,m4,e263,e277,r4,r8,,,,,,,,,,,,,,
handover,mission,m4,e277,e341,r8,r4,,,,,,,,,,,,,,
handover,mission,m4,e293,e263,r2,r4,,,,,,,,,,,,,,
handover,mission,m4,e341,e519,r4,r5,,,,,,,,,,,,,,
handover,mission,m4,e84,e88,r3,r5,,,,,,,,,,,,,,
handover,mission,m4,e88,e293,r5,r2,,,,,,,,,,,,,,
handover,mission,m4,e92,e84,r7,r3,,,,,,,,,,,,,,
handover,mission,m5,e20,e68,r7,r5,,,,,,,,,,,,,,
handover,mission,m5,e20,e72,r7,r3,,,,,,,,,,,,,,
handover,mission,m5,e237,e241,r4,r6,,,,,,,,,,,,,,
handover,mission,m5,e272,e324,r6,r8,,,,,,,,,,,,,,
handover,mission,m5,e324,e383,r8,r4,,,,,,,,,,,,,,
handover,mission,m5,e383,e576,r4,r3,,,,,,,,,,,,,,
handover,mission,m5,e68,e76,r5,r1,,,,,,,,,,,,,,
handover,mission,m5,e72,e76,r3,r1,,,,,,,,,,,,,,
handover,mission,m5,e76,e237,r1,r4,,,,,,,,,,,,,,
handover,mission,m6,e173,e177,r3,r1,,,,,,,,,,,,,,
handover,mission,m6,e177,e472,r1,r2,,,,,,,,,,,,,,
handover,mission,m6,e181,e173,r7,r3,,,,,,,,,,,,,,
handover,mission,m6,e36,e181,r1,r7,,,,,,,,,,,,,,
handover,mission,m6,e472,e440,r2,r8,,,,,,,,,,,,,,
handover,mission,m6,e495,e724,r8,r3,,,,,,,,,,,,,,
handover,mission,m7,e120,e128,r1,r3,,,,,,,,,,,,,,
handover,mission,m7,e120,e345,r1,r6,,,,,,,,,,,,,,
handover,mission,m7,e124,e120,r5,r1,,,,,,,,,,,,,,
handover,mission,m7,e319,e449,r4,r8,,,,,,,,,,,,,,
handover,mission,m7,e444,e319,r6,r4,,,,,,,,,,,,,,
handover,mission,m7,e481,e685,r8,r7,,,,,,,,,,,,,,
handover,mission,m8,e195,e468,r1,r4,,,,,,,,,,,,,,
handover,mission,m8,e199,e476,r5,r2,,,,,,,,,,,,,,
handover,mission,m8,e203,e199,r7,r5,,,,,,,,,,,,,,
handover,mission,m8,e468,e510,r4,r8,,,,,,,,,,,,,,
handover,mission,m8,e476,e195,r2,r1,,,,,,,,,,,,,,
handover,mission,m8,e515,e774,r8,r3,,,,,,,,,,,,,,
handover,mission,m8,e56,e203,r5,r7,,,,,,,,,,,,,,
handover,mission,m9,e224,e232,r3,r7,,,,,,,,,,,,,,
handover,mission,m9,e228,e224,r5,r3,,,,,,,,,,,,,,
handover,mission,m9,e232,e523,r7,r6,,,,,,,,,,,,,,
handover,mission,m9,e505,e558,r4,r1,,,,,,,,,,,,,,
handover,mission,m9,e536,e505,r6,r4,,,,,,,,,,,,,,
handover,mission,m9,e558,e798,r1,r7,,,,,,,,,,,,,,
handover,mission,m9,e581,e798,r4,r7,,,,,,,,,,,,,,
handover,mission,m9,e60,e228,r7,r5,,,,,,,,,,,,,,
handover,segment,m10_s1,e212,e500,r7,r4,,,,,,,,,,,,,,
handover,segment,m10_s2,e216,e485,r5,r6,,,,,,,,,,,,,,
handover,segment,m10_s2,e485,e528,r6,r4,,,,,,,,,,,,,,
handover,segment,m10_s3,e220,e490,r3,r4,,,,,,,,,,,,,,
handover,segment,m11_s1,e250,e540,r1,r2,,,,,,,,,,,,,,
handover,segment,m11_s1,e540,e599,r2,r1,,,,,,,,,,,,,,
handover,segment,m11_s2,e254,e572,r3,r5,,,,,,,,,,,,,,
handover,segment,m11_s3,e258,e532,r5,r2,,,,,,,,,,,,,,
handover,segment,m11_s3,e532,e550,r2,r8,,,,,,,,,,,,,,
handover,segment,m12_s1,e306,e611,r3,r5,,,,,,,,,,,,,,
handover,segment,m12_s2,e310,e603,r1,r6,,,,,,,,,,,,,,
handover,segment,m12_s2,e603,e669,r6,r8,,,,,,,,,,,,,,
handover,segment,m12_s3,e314,e567,r7,r4,,,,,,,,,,,,,,
handover,segment,m13_s1,e281,e585,r5,r6,,,,,,,,,,,,,,
handover,segment,m13_s1,e585,e645,r6,r8,,,,,,,,,,,,,,
handover,segment,m13_s2,e285,e545,r7,r1,,,,,,,,,,,,,,
handover,segment,m13_s3,e289,e562,r1,r6,,,,,,,,,,,,,,
