objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
mission,r8,e366,e440,m3,m6
mission,r8,e440,e449,m6,m7
mission,r8,e449,e463,m7,m6
mission,r8,e463,e481,m6,m7
mission,r8,e481,e495,m7,m6
mission,r8,e495,e510,m6,m8
mission,r8,e515,e550,m8,m11
mission,r8,e550,e594,m11,m14
mission,r8,e594,e624,m14,m15
mission,r8,e624,e645,m15,m13
mission,r8,e645,e669,m13,m12
mission,r8,e669,e712,m12,m17
mission,r8,e712,e743,m17,m19
segment,r1,e112,e120,m3_s2,m7_s1
segment,r1,e177,e195,m6_s2,m8_s1
segment,r1,e195,e250,m8_s1,m11_s1
segment,r1,e250,e289,m11_s1,m13_s3
segment,r1,e289,e310,m13_s3,m12_s2
segment,r1,e310,e336,m12_s2,m14_s3
segment,r1,e336,e370,m14_s3,m16_s1
segment,r1,e370,e395,m16_s1,m17_s2
segment,r1,e395,e415,m17_s2,m20_s1
segment,r1,e415,e435,m20_s1,m18_s3
segment,r1,e435,e545,m18_s3,m13_s2
segment,r1,e545,e558,m13_s2,m9_s1
segment,r1,e558,e599,m9_s1,m11_s1
segment,r1,e599,e655,m11_s1,m16_s3
segment,r1,e655,e674,m16_s3,m15_s1
segment,r1,e674,e707,m15_s1,m15_s3
segment,r1,e707,e752,m15_s3,m18_s3
segment,r1,e752,e789,m18_s3,m19_s1
segment,r1,e76,e112,m5_s3,m3_s2
segment,r2,e157,e169,m1_s1,m1_s3
segment,r2,e169,e293,m1_s3,m4_s2
segment,r2,e293,e297,m4_s2,m3_s3
segment,r2,e297,e387,m3_s3,m3_s1
segment,r2,e387,e472,m3_s1,m6_s2
segment,r2,e472,e476,m6_s2,m8_s2
segment,r2,e476,e532,m8_s2,m11_s3
segment,r2,e532,e540,m11_s3,m11_s1
segment,r2,e540,e589,m11_s1,m14_s2
segment,r2,e589,e636,m14_s2,m15_s1
segment,r2,e636,e664,m15_s1,m15_s3
segment,r2,e664,e693,m15_s3,m17_s1
segment,r2,e693,e747,m17_s1,m20_s2
segment,r2,e747,e770,m20_s2,m18_s2
segment,r3,e128,e173,m7_s3,m6_s1
segment,r3,e173,e220,m6_s1,m10_s3
segment,r3,e220,e224,m10_s3,m9_s1
segment,r3,e224,e254,m9_s1,m11_s2
segment,r3,e254,e306,m11_s2,m12_s1
segment,r3,e28,e44,m1_s2,m2_s1
segment,r3,e306,e357,m12_s1,m15_s3
