objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
segment,m10_s2,e216,e485,r5,r6
segment,m10_s2,e485,e528,r6,r4
segment,m10_s3,e220,e490,r3,r4
segment,m11_s1,e250,e540,r1,r2
segment,m11_s1,e540,e599,r2,r1
segment,m11_s2,e254,e572,r3,r5
segment,m11_s3,e258,e532,r5,r2
segment,m11_s3,e532,e550,r2,r8
segment,m12_s1,e306,e611,r3,r5
segment,m12_s2,e310,e603,r1,r6
segment,m12_s2,e603,e669,r6,r8
segment,m12_s3,e314,e567,r7,r4
segment,m13_s1,e281,e585,r5,r6
segment,m13_s1,e585,e645,r6,r8
segment,m13_s2,e285,e545,r7,r1
segment,m13_s3,e289,e562,r1,r6
segment,m13_s3,e562,e616,r6,r4
segment,m14_s1,e328,e594,r5,r8
segment,m14_s2,e332,e589,r7,r2
segment,m14_s2,e589,e650,r2,r5
segment,m14_s3,e336,e632,r1,r4
segment,m15_s1,e349,e636,r5,r2
segment,m15_s1,e636,e674,r2,r1
segment,m15_s2,e353,e624,r7,r8
segment,m15_s3,e357,e664,r3,r2
segment,m15_s3,e664,e707,r2,r1
segment,m16_s1,e370,e660,r1,r4
segment,m16_s2,e374,e697,r7,r6
segment,m16_s2,e697,e779,r6,r4
segment,m16_s3,e378,e655,r5,r1
segment,m17_s1,e391,e693,r3,r2
segment,m17_s1,e693,e757,r2,r5
segment,m17_s2,e395,e702,r1,r5
segment,m17_s3,e399,e678,r5,r6
segment,m17_s3,e678,e712,r6,r8
segment,m18_s1,e427,e738,r5,r4
segment,m18_s2,e431,e770,r7,r2
segment,m18_s2,e770,e794,r2,r5
segment,m19_s1,e403,e728,r7,r6
segment,m19_s1,e728,e789,r6,r1
segment,m19_s2,e407,e762,r3,r8
segment,m19_s3,e411,e689,r5,r6
segment,m19_s3,e689,e743,r6,r8
segment,m1_s1,e157,e186,r2,r8
segment,m1_s1,e24,e157,r7,r2
segment,m1_s2,e28,e149,r3,r8
segment,m1_s3,e169,e268,r2,r4
segment,m1_s3,e32,e169,r1,r2
segment,m20_s1,e415,e733,r1,r5
segment,m20_s2,e419,e747,r7,r2
segment,m20_s2,e747,e784,r2,r5
segment,m20_s3,e423,e717,r5,r4
segment,m2_s1,e44,e208,r3,r8
segment,m2_s2,e161,e246,r6,r8
segment,m2_s2,e48,e161,r5,r6
segment,m2_s3,e52,e191,r7,r4
segment,m3_s1,e108,e387,r7,r2
segment,m3_s1,e387,e458,r2,r4
segment,m3_s2,e112,e302,r1,r8
segment,m3_s3,e116,e297,r5,r2
segment,m3_s3,e297,e366,r2,r8
segment,m4_s1,e84,e277,r3,r8
segment,m4_s2,e293,e341,r2,r4
segment,m4_s2,e88,e293,r5,r2
segment,m4_s3,e92,e263,r7,r4
segment,m5_s1,e241,e324,r6,r8
segment,m5_s1,e68,e241,r5,r6
segment,m5_s2,e72,e237,r3,r4
segment,m5_s3,e272,e383,r6,r4
