event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
62,Control,move_to,2026-08-27T18:35:32.537809,2026-08-27T18:35:50.652496,robot2,m2,s3
63,Task,vacuum,2026-08-27T18:35:50.653141,2026-08-27T18:36:15.158418,robot2,m2,s3
64,Control,move_to,2026-08-27T18:36:25.540021,2026-08-27T18:36:35.743939,robot2,m2,s8
65,Task,disinfect,2026-08-27T18:36:35.746484,2026-08-27T18:36:49.755682,robot2,m2,s8
66,Control,move_to,2026-08-27T18:36:50.539944,2026-08-27T18:37:10.645062,robot2,m2,s5
67,Task,disinfect,2026-08-27T18:37:10.648989,2026-08-27T18:37:20.652178,robot2,m2,s5
68,Control,move_to,2026-08-27T18:37:22.535167,2026-08-27T18:37:34.537566,robot2,m2,s6
69,Task,final_room_check,2026-08-27T18:37:34.538361,2026-08-27T18:37:43.547987,robot2,m2,s6
70,Control,undock,2026-08-27T18:34:33.545302,2026-08-27T18:34:37.551577,robot3,m2,s2
71,Control,move_to,2026-08-27T18:34:37.553146,2026-08-27T18:34:59.922544,robot3,m2,s2
72,Task,check_room,2026-08-27T18:34:59.925642,2026-08-27T18:35:04.433798,robot3,m2,s2
73,Task,vacuum,2026-08-27T18:35:06.534297,2026-08-27T18:35:17.042404,robot3,m2,s2
74,Control,move_to,2026-08-27T18:35:17.534119,2026-08-27T18:35:23.862865,robot3,m2,s7
75,Task,vacuum,2026-08-27T18:35:23.864711,2026-08-27T18:35:34.370568,robot3,m2,s7
76,Control,move_to,2026-08-27T18:35:34.550738,2026-08-27T18:35:47.973636,robot3,m2,s5
77,Task,vacuum,2026-08-27T18:35:47.975743,2026-08-27T18:36:05.482790,robot3,m2,s5
78,Control,move_to,2026-08-27T18:36:07.543502,2026-08-27T18:36:19.214653,robot3,m2,s7
79,Task,disinfect,2026-08-27T18:36:19.217155,2026-08-27T18:36:25.225231,robot3,m2,s7
80,Task,final_room_check,2026-08-27T18:36:27.534018,2026-08-27T18:36:32.042016,robot3,m2,s7
81,Control,move_to,2026-08-27T18:37:01.535440,2026-08-27T18:37:10.025544,robot3,m2,s6
82,Task,disinfect,2026-08-27T18:37:10.028155,2026-08-27T18:37:22.033406,robot3,m2,s6
83,Control,move_to,2026-08-27T18:37:25.535897,2026-08-27T18:37:37.204043,robot3,m2,s3
84,Task,disinfect,2026-08-27T18:37:37.206670,2026-08-27T18:37:51.212928,robot3,m2,s3
85,Control,undock,2026-08-27T18:34:33.543741,2026-08-27T18:34:37.551716,robot4,m2,s3
86,Control,move_to,2026-08-27T18:34:37.553090,2026-08-27T18:35:00.362115,robot4,m2,s3
87,Task,check_room,2026-08-27T18:35:00.362897,2026-08-27T18:35:10.868965,robot4,m2,s3
88,Control,move_to,2026-08-27T18:35:19.541518,2026-08-27T18:35:34.113013,robot4,m2,s2
89,Task,mop,2026-08-27T18:35:34.115124,2026-08-27T18:35:50.620253,robot4,m2,s2
90,Task,disinfect,2026-08-27T18:35:53.548695,2026-08-27T18:35:59.556170,robot4,m2,s2
91,Task,final_room_check,2026-08-27T18:36:00.534184,2026-08-27T18:36:05.041652,robot4,m2,s2
92,Control,move_to,2026-08-27T18:36:07.557058,2026-08-27T18:36:22.124169,robot4,m2,s5
93,Task,mop,2026-08-27T18:36:22.127220,2026-08-27T18:36:49.634943,robot4,m2,s5
94,Control,undock,2026-08-27T18:34:33.547448,2026-08-27T18:34:37.555284,robot5,m2,s7
95,Control,move_to,2026-08-27T18:34:37.556888,2026-08-27T18:35:00.364372,robot5,m2,s7
96,Task,check_room,2026-08-27T18:35:00.365098,2026-08-27T18:35:04.870286,robot5,m2,s7
97,Control,move_to,2026-08-27T18:35:18.537448,2026-08-27T18:35:35.748321,robot5,m2,s1
98,Task,mop,2026-08-27T18:35:35.750945,2026-08-27T18:36:08.757761,robot5,m2,s1
99,Task,disinfect,2026-08-27T18:36:11.560683,2026-08-27T18:36:23.567772,robot5,m2,s1
100,Task,final_room_check,2026-08-27T18:36:24.532143,2026-08-27T18:36:33.537229,robot5,m2,s1
101,Control,undock,2026-08-27T18:34:33.573410,2026-08-27T18:34:37.580793,robot6,m2,s4
102,Control,move_to,2026-08-27T18:34:37.582700,2026-08-27T18:35:01.670854,robot6,m2,s4
103,Task,check_room,2026-08-27T18:35:01.671847,2026-08-27T18:35:07.677815,robot6,m2,s4
104,Control,move_to,2026-08-27T18:35:32.535944,2026-08-27T18:35:44.544328,robot6,m2,s8
105,Task,mop,2026-08-27T18:35:44.546617,2026-08-27T18:36:23.054788,robot6,m2,s8
106,Control,undock,2026-08-27T18:34:33.572665,2026-08-27T18:34:37.578120,robot7,m2,s5
107,Control,move_to,2026-08-27T18:34:37.580731,2026-08-27T18:35:02.324776,robot7,m2,s5
108,Task,check_room,2026-08-27T18:35:02.325678,2026-08-27T18:35:09.831535,robot7,m2,s5
109,Control,move_to,2026-08-27T18:35:36.596554,2026-08-27T18:35:48.268504,robot7,m2,s7
110,Task,mop,2026-08-27T18:35:48.271244,2026-08-27T18:36:04.779341,robot7,m2,s7
111,Control,move_to,2026-08-27T18:36:17.549629,2026-08-27T18:36:26.041520,robot7,m2,s6
112,Task,mop,2026-08-27T18:36:26.043860,2026-08-27T18:36:59.051214,robot7,m2,s6
113,Control,undock,2026-08-27T18:34:33.616168,2026-08-27T18:34:37.619923,robot8,m2,s6
114,Control,move_to,2026-08-27T18:34:37.620984,2026-08-27T18:35:04.458473,robot8,m2,s6
115,Task,check_room,2026-08-27T18:35:04.459466,2026-08-27T18:35:13.467037,robot8,m2,s6
116,Control,move_to,2026-08-27T18:35:47.544321,2026-08-27T18:35:54.764599,robot8,m2,s4
117,Task,mop,2026-08-27T18:35:54.766963,2026-08-27T18:36:16.774360,robot8,m2,s4
118,Control,undock,2026-08-27T18:36:17.585588,2026-08-27T18:36:21.594586,robot9,m2,s3
119,Control,move_to,2026-08-27T18:36:21.597458,2026-08-27T18:36:44.409191,robot9,m2,s3
