event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
59,Task,disinfect,2026-08-27T17:59:38.637408,2026-08-27T17:59:52.646962,robot1,m2,m2_s3
60,Control,undock,2026-08-27T17:56:57.524781,2026-08-27T17:57:01.529893,robot2,m2,m2_s2
61,Control,move_to,2026-08-27T17:57:01.530403,2026-08-27T17:57:23.884643,robot2,m2,m2_s2
62,Task,check_room,2026-08-27T17:57:23.886314,2026-08-27T17:57:28.391166,robot2,m2,m2_s2
63,Control,move_to,2026-08-27T17:57:28.557964,2026-08-27T17:57:48.562848,robot2,m2,m2_s1
64,Task,vacuum,2026-08-27T17:57:48.564600,2026-08-27T17:58:09.581964,robot2,m2,m2_s1
65,Control,move_to,2026-08-27T17:58:10.516397,2026-08-27T17:58:26.645755,robot2,m2,m2_s5
66,Task,vacuum,2026-08-27T17:58:26.646506,2026-08-27T17:58:44.156622,robot2,m2,m2_s5
67,Control,move_to,2026-08-27T17:58:44.524656,2026-08-27T17:58:54.528518,robot2,m2,m2_s4
68,Task,disinfect,2026-08-27T17:58:54.529673,2026-08-27T17:59:02.533551,robot2,m2,m2_s4
69,Task,final_room_check,2026-08-27T17:59:05.525974,2026-08-27T17:59:11.529134,robot2,m2,m2_s4
70,Control,move_to,2026-08-27T17:59:23.521911,2026-08-27T17:59:37.950888,robot2,m2,m2_s1
71,Task,final_room_check,2026-08-27T17:59:37.952422,2026-08-27T17:59:46.961554,robot2,m2,m2_s1
72,Control,move_to,2026-08-27T17:59:55.520849,2026-08-27T18:00:09.670848,robot2,m2,m2_s3
73,Task,final_room_check,2026-08-27T18:00:09.673695,2026-08-27T18:00:20.179092,robot2,m2,m2_s3
74,Control,undock,2026-08-27T17:56:57.543722,2026-08-27T17:57:01.547037,robot3,m2,m2_s6
75,Control,move_to,2026-08-27T17:57:01.547741,2026-08-27T17:57:28.376200,robot3,m2,m2_s6
76,Task,check_room,2026-08-27T17:57:28.378335,2026-08-27T17:57:37.386248,robot3,m2,m2_s6
77,Control,move_to,2026-08-27T17:57:37.534948,2026-08-27T17:57:49.203289,robot3,m2,m2_s3
78,Task,vacuum,2026-08-27T17:57:49.205709,2026-08-27T17:58:13.721656,robot3,m2,m2_s3
79,Control,move_to,2026-08-27T17:58:14.528932,2026-08-27T17:58:33.506927,robot3,m2,m2_s6
80,Task,vacuum,2026-08-27T17:58:33.507831,2026-08-27T17:58:54.514760,robot3,m2,m2_s6
81,Control,move_to,2026-08-27T17:58:57.548170,2026-08-27T17:59:03.882575,robot3,m2,m2_s7
82,Task,disinfect,2026-08-27T17:59:03.886582,2026-08-27T17:59:09.895644,robot3,m2,m2_s7
83,Control,move_to,2026-08-27T17:59:41.526596,2026-08-27T17:59:50.020133,robot3,m2,m2_s6
84,Task,disinfect,2026-08-27T17:59:50.022541,2026-08-27T18:00:02.027828,robot3,m2,m2_s6
85,Control,undock,2026-08-27T17:56:57.527045,2026-08-27T17:57:01.530392,robot4,m2,m2_s1
86,Control,move_to,2026-08-27T17:57:01.530892,2026-08-27T17:57:10.479665,robot4,m2,m2_s1
87,Task,check_room,2026-08-27T17:57:10.481230,2026-08-27T17:57:19.503743,robot4,m2,m2_s1
88,Control,move_to,2026-08-27T17:58:27.538418,2026-08-27T17:58:39.710909,robot4,m2,m2_s2
89,Task,disinfect,2026-08-27T17:58:39.713006,2026-08-27T17:58:45.721315,robot4,m2,m2_s2
90,Control,move_to,2026-08-27T17:58:48.530343,2026-08-27T17:59:08.537578,robot4,m2,m2_s1
91,Task,disinfect,2026-08-27T17:59:08.539072,2026-08-27T17:59:20.543797,robot4,m2,m2_s1
92,Control,undock,2026-08-27T17:58:14.530110,2026-08-27T17:58:18.533036,robot5,m2,m2_s3
93,Control,move_to,2026-08-27T17:58:18.533809,2026-08-27T17:58:41.341969,robot5,m2,m2_s3
94,Task,mop,2026-08-27T17:58:41.342978,2026-08-27T17:59:19.868279,robot5,m2,m2_s3
95,Control,move_to,2026-08-27T17:59:29.519795,2026-08-27T17:59:47.529773,robot5,m2,m2_s5
96,Task,disinfect,2026-08-27T17:59:47.531573,2026-08-27T17:59:57.538690,robot5,m2,m2_s5
97,Control,move_to,2026-08-27T18:00:11.518038,2026-08-27T18:00:33.070153,robot5,m2,m2_s8
98,Task,disinfect,2026-08-27T18:00:33.073236,2026-08-27T18:00:47.081461,robot5,m2,m2_s8
99,Control,undock,2026-08-27T17:56:57.536077,2026-08-27T17:57:01.541896,robot6,m2,m2_s5
100,Control,move_to,2026-08-27T17:57:01.542593,2026-08-27T17:57:26.277341,robot6,m2,m2_s5
101,Task,check_room,2026-08-27T17:57:26.279538,2026-08-27T17:57:33.787049,robot6,m2,m2_s5
102,Control,move_to,2026-08-27T17:58:46.527565,2026-08-27T17:59:01.094556,robot6,m2,m2_s2
103,Task,final_room_check,2026-08-27T17:59:01.096995,2026-08-27T17:59:05.604068,robot6,m2,m2_s2
104,Control,move_to,2026-08-27T17:59:13.548467,2026-08-27T17:59:30.050677,robot6,m2,m2_s8
105,Task,mop,2026-08-27T17:59:30.053165,2026-08-27T18:00:08.562488,robot6,m2,m2_s8
106,Control,undock,2026-08-27T17:56:57.526769,2026-08-27T17:57:01.533687,robot7,m2,m2_s4
107,Control,move_to,2026-08-27T17:57:01.534269,2026-08-27T17:57:25.612344,robot7,m2,m2_s4
108,Task,check_room,2026-08-27T17:57:25.615300,2026-08-27T17:57:31.623184,robot7,m2,m2_s4
109,Control,move_to,2026-08-27T17:58:01.527927,2026-08-27T17:58:08.746057,robot7,m2,m2_s2
110,Task,mop,2026-08-27T17:58:08.748892,2026-08-27T17:58:25.258026,robot7,m2,m2_s2
111,Control,move_to,2026-08-27T17:58:32.516628,2026-08-27T17:58:38.847291,robot7,m2,m2_s7
112,Task,mop,2026-08-27T17:58:38.849428,2026-08-27T17:58:55.356758,robot7,m2,m2_s7
113,Control,move_to,2026-08-27T17:58:57.549637,2026-08-27T17:59:06.061375,robot7,m2,m2_s6
114,Task,mop,2026-08-27T17:59:06.069980,2026-08-27T17:59:39.085866,robot7,m2,m2_s6
115,Control,undock,2026-08-27T17:56:57.534204,2026-08-27T17:57:01.541908,robot8,m2,m2_s3
116,Control,move_to,2026-08-27T17:57:01.542588,2026-08-27T17:57:24.339267,robot8,m2,m2_s3
117,Task,check_room,2026-08-27T17:57:24.340506,2026-08-27T17:57:34.847315,robot8,m2,m2_s3
118,Control,move_to,2026-08-27T17:58:10.515312,2026-08-27T17:58:13.351810,robot8,m2,m2_s1
119,Task,mop,2026-08-27T17:58:13.354213,2026-08-27T17:58:46.362019,robot8,m2,m2_s1
120,Control,move_to,2026-08-27T17:59:10.513962,2026-08-27T17:59:22.180195,robot8,m2,m2_s7
121,Task,final_room_check,2026-08-27T17:59:22.180876,2026-08-27T17:59:26.687709,robot8,m2,m2_s7
122,Control,move_to,2026-08-27T18:00:02.515544,2026-08-27T18:00:11.010850,robot8,m2,m2_s6
123,Task,final_room_check,2026-08-27T18:00:11.012938,2026-08-27T18:00:20.019666,robot8,m2,m2_s6
124,Control,undock,2026-08-27T17:56:57.543552,2026-08-27T17:57:01.547039,robot9,m2,m2_s7
125,Control,move_to,2026-08-27T17:57:01.547676,2026-08-27T17:57:24.343518,robot9,m2,m2_s7
126,Task,check_room,2026-08-27T17:57:24.344434,2026-08-27T17:57:28.850590,robot9,m2,m2_s7
127,Control,move_to,2026-08-27T17:58:18.533352,2026-08-27T17:58:20.536492,robot9,m2,m2_s4
128,Task,mop,2026-08-27T17:58:20.537142,2026-08-27T17:58:42.540409,robot9,m2,m2_s4
129,Control,move_to,2026-08-27T17:58:46.525131,2026-08-27T17:58:59.337429,robot9,m2,m2_s5
130,Task,mop,2026-08-27T17:58:59.339449,2026-08-27T17:59:26.848840,robot9,m2,m2_s5
131,Task,final_room_check,2026-08-27T17:59:58.520584,2026-08-27T18:00:06.027957,robot9,m2,m2_s5
132,Control,move_to,2026-08-27T18:00:49.523255,2026-08-27T18:01:11.073568,robot9,m2,m2_s8
133,Task,final_room_check,2026-08-27T18:01:11.076667,2026-08-27T18:01:21.584446,robot9,m2,m2_s8
134,Control,undock,2026-08-27T18:22:17.499608,2026-08-27T18:22:21.506743,robot1,m3,m3_s7
135,Control,move_to,2026-08-27T18:22:21.507754,2026-08-27T18:22:44.316291,robot1,m3,m3_s7
136,Task,check_room,2026-08-27T18:22:44.317929,2026-08-27T18:22:48.821946,robot1,m3,m3_s7
137,Control,move_to,2026-08-27T18:22:49.481686,2026-08-27T18:23:06.692480,robot1,m3,m3_s1
138,Task,vacuum,2026-08-27T18:23:06.694789,2026-08-27T18:23:27.702681,robot1,m3,m3_s1
139,Control,move_to,2026-08-27T18:23:28.481337,2026-08-27T18:23:44.612511,robot1,m3,m3_s5
140,Task,vacuum,2026-08-27T18:23:44.614110,2026-08-27T18:24:02.122966,robot1,m3,m3_s5
141,Control,move_to,2026-08-27T18:24:02.475459,2026-08-27T18:24:24.023587,robot1,m3,m3_s8
142,Task,vacuum,2026-08-27T18:24:24.026336,2026-08-27T18:24:48.534016,robot1,m3,m3_s8
143,Control,move_to,2026-08-27T18:24:49.476135,2026-08-27T18:25:07.925899,robot1,m3,m3_s4
144,Task,disinfect,2026-08-27T18:25:07.928780,2026-08-27T18:25:15.956160,robot1,m3,m3_s4
145,Task,final_room_check,2026-08-27T18:25:16.475682,2026-08-27T18:25:22.484900,robot1,m3,m3_s4
146,Control,move_to,2026-08-27T18:25:23.485706,2026-08-27T18:25:58.475195,robot1,m3,m3_s11
147,Task,vacuum,2026-08-27T18:25:58.476012,2026-08-27T18:26:19.482793,robot1,m3,m3_s11
148,Control,move_to,2026-08-27T18:26:20.484704,2026-08-27T18:26:35.052606,robot1,m3,m3_s14
149,Task,vacuum,2026-08-27T18:26:35.055577,2026-08-27T18:26:49.064153,robot1,m3,m3_s14
