event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
59,Task,final_room_check,2026-08-27T19:17:26.029651,2026-08-27T19:17:30.534989,robot1,m2,m2_s7
60,Control,move_to,2026-08-27T19:17:34.819112,2026-08-27T19:17:43.309868,robot1,m2,m2_s6
61,Task,disinfect,2026-08-27T19:17:43.311158,2026-08-27T19:17:55.312919,robot1,m2,m2_s6
62,Control,move_to,2026-08-27T19:17:55.811415,2026-08-27T19:18:04.762664,robot1,m2,m2_s8
63,Task,disinfect,2026-08-27T19:18:04.765592,2026-08-27T19:18:18.774952,robot1,m2,m2_s8
64,Control,undock,2026-08-27T19:14:50.880782,2026-08-27T19:14:54.884124,robot2,m2,m2_s6
65,Control,move_to,2026-08-27T19:14:54.885501,2026-08-27T19:15:21.723957,robot2,m2,m2_s6
66,Task,check_room,2026-08-27T19:15:21.725238,2026-08-27T19:15:30.732026,robot2,m2,m2_s6
67,Control,move_to,2026-08-27T19:15:30.823546,2026-08-27T19:15:42.493128,robot2,m2,m2_s3
68,Task,vacuum,2026-08-27T19:15:42.495786,2026-08-27T19:16:07.003659,robot2,m2,m2_s3
69,Control,move_to,2026-08-27T19:16:07.817127,2026-08-27T19:16:26.798329,robot2,m2,m2_s6
70,Task,vacuum,2026-08-27T19:16:26.801320,2026-08-27T19:16:47.820822,robot2,m2,m2_s6
71,Control,move_to,2026-08-27T19:16:48.813658,2026-08-27T19:17:00.482488,robot2,m2,m2_s3
72,Task,disinfect,2026-08-27T19:17:00.484503,2026-08-27T19:17:14.494251,robot2,m2,m2_s3
73,Control,move_to,2026-08-27T19:17:36.817500,2026-08-27T19:17:54.820650,robot2,m2,m2_s5
74,Task,disinfect,2026-08-27T19:17:54.822881,2026-08-27T19:18:04.829675,robot2,m2,m2_s5
75,Control,undock,2026-08-27T19:14:50.919259,2026-08-27T19:14:54.927099,robot3,m2,m2_s7
76,Control,move_to,2026-08-27T19:14:54.928814,2026-08-27T19:15:17.741859,robot3,m2,m2_s7
77,Task,check_room,2026-08-27T19:15:17.744742,2026-08-27T19:15:22.250683,robot3,m2,m2_s7
78,Control,move_to,2026-08-27T19:15:22.806377,2026-08-27T19:15:40.019595,robot3,m2,m2_s1
79,Task,vacuum,2026-08-27T19:15:40.022563,2026-08-27T19:16:01.030651,robot3,m2,m2_s1
80,Control,move_to,2026-08-27T19:16:01.819533,2026-08-27T19:16:17.953169,robot3,m2,m2_s5
81,Task,vacuum,2026-08-27T19:16:17.955526,2026-08-27T19:16:35.465772,robot3,m2,m2_s5
82,Control,move_to,2026-08-27T19:16:37.809849,2026-08-27T19:16:47.816483,robot3,m2,m2_s4
83,Task,disinfect,2026-08-27T19:16:47.818901,2026-08-27T19:16:55.826866,robot3,m2,m2_s4
84,Control,move_to,2026-08-27T19:16:56.815695,2026-08-27T19:17:11.244967,robot3,m2,m2_s1
85,Task,disinfect,2026-08-27T19:17:11.247715,2026-08-27T19:17:23.256585,robot3,m2,m2_s1
86,Control,undock,2026-08-27T19:14:50.927247,2026-08-27T19:14:54.931402,robot4,m2,m2_s8
87,Control,move_to,2026-08-27T19:14:54.932954,2026-08-27T19:15:11.433735,robot4,m2,m2_s8
88,Task,check_room,2026-08-27T19:15:11.436706,2026-08-27T19:15:21.945780,robot4,m2,m2_s8
89,Control,move_to,2026-08-27T19:16:24.814235,2026-08-27T19:16:41.910595,robot4,m2,m2_s2
90,Task,disinfect,2026-08-27T19:16:41.911224,2026-08-27T19:16:47.915091,robot4,m2,m2_s2
91,Control,move_to,2026-08-27T19:16:53.814618,2026-08-27T19:17:00.147291,robot4,m2,m2_s7
92,Task,disinfect,2026-08-27T19:17:00.149694,2026-08-27T19:17:06.158018,robot4,m2,m2_s7
93,Control,undock,2026-08-27T19:16:37.813992,2026-08-27T19:16:41.820304,robot5,m2,m2_s5
94,Control,move_to,2026-08-27T19:16:41.823271,2026-08-27T19:17:06.571321,robot5,m2,m2_s5
95,Task,mop,2026-08-27T19:17:06.573099,2026-08-27T19:17:34.082274,robot5,m2,m2_s5
96,Control,undock,2026-08-27T19:14:50.829320,2026-08-27T19:14:54.837017,robot6,m2,m2_s1
97,Control,move_to,2026-08-27T19:14:54.838413,2026-08-27T19:15:03.788827,robot6,m2,m2_s1
98,Task,check_room,2026-08-27T19:15:03.791105,2026-08-27T19:15:12.800541,robot6,m2,m2_s1
99,Control,move_to,2026-08-27T19:15:53.838498,2026-08-27T19:16:06.009701,robot6,m2,m2_s2
100,Task,mop,2026-08-27T19:16:06.011438,2026-08-27T19:16:22.520618,robot6,m2,m2_s2
101,Control,move_to,2026-08-27T19:16:28.916634,2026-08-27T19:16:35.249908,robot6,m2,m2_s7
102,Task,mop,2026-08-27T19:16:35.252299,2026-08-27T19:16:51.761144,robot6,m2,m2_s7
103,Control,move_to,2026-08-27T19:16:58.820466,2026-08-27T19:17:00.826910,robot6,m2,m2_s4
104,Task,final_room_check,2026-08-27T19:17:00.828062,2026-08-27T19:17:06.835257,robot6,m2,m2_s4
105,Control,move_to,2026-08-27T19:17:16.817935,2026-08-27T19:17:28.489962,robot6,m2,m2_s3
106,Task,final_room_check,2026-08-27T19:17:28.492616,2026-08-27T19:17:39.000314,robot6,m2,m2_s3
107,Control,move_to,2026-08-27T19:17:55.814282,2026-08-27T19:18:14.794982,robot6,m2,m2_s6
108,Task,final_room_check,2026-08-27T19:18:14.796925,2026-08-27T19:18:23.804650,robot6,m2,m2_s6
109,Control,undock,2026-08-27T19:14:50.820484,2026-08-27T19:14:54.828591,robot7,m2,m2_s2
110,Control,move_to,2026-08-27T19:14:54.830318,2026-08-27T19:15:17.199862,robot7,m2,m2_s2
111,Task,check_room,2026-08-27T19:15:17.201717,2026-08-27T19:15:21.709161,robot7,m2,m2_s2
112,Control,move_to,2026-08-27T19:16:01.819607,2026-08-27T19:16:21.828610,robot7,m2,m2_s1
113,Task,mop,2026-08-27T19:16:21.831535,2026-08-27T19:16:54.836516,robot7,m2,m2_s1
114,Control,move_to,2026-08-27T19:17:07.814708,2026-08-27T19:17:16.764988,robot7,m2,m2_s8
115,Task,mop,2026-08-27T19:17:16.767708,2026-08-27T19:17:55.270171,robot7,m2,m2_s8
116,Control,move_to,2026-08-27T19:18:05.811398,2026-08-27T19:18:25.896884,robot7,m2,m2_s5
117,Task,final_room_check,2026-08-27T19:18:25.898572,2026-08-27T19:18:33.404025,robot7,m2,m2_s5
118,Control,undock,2026-08-27T19:14:50.827958,2026-08-27T19:14:54.832134,robot8,m2,m2_s3
119,Control,move_to,2026-08-27T19:14:54.833468,2026-08-27T19:15:17.644970,robot8,m2,m2_s3
120,Task,check_room,2026-08-27T19:15:17.648008,2026-08-27T19:15:28.157523,robot8,m2,m2_s3
121,Task,mop,2026-08-27T19:16:07.816535,2026-08-27T19:16:46.324433,robot8,m2,m2_s3
122,Control,move_to,2026-08-27T19:16:50.822025,2026-08-27T19:17:05.388525,robot8,m2,m2_s2
123,Task,final_room_check,2026-08-27T19:17:05.389906,2026-08-27T19:17:09.894205,robot8,m2,m2_s2
