task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t116,inspect,m13,m13_s1,segment,r3,random,2026-01-01T08:06:49.97,e181,2026-01-01T08:29:46.21,2026-01-01T08:29:56.23
t119,inspect,m13,m13_s2,segment,r1,random,2026-01-01T08:06:49.97,e185,2026-01-01T08:21:47.57,2026-01-01T08:21:59.07
t121,inspect,m13,m13_s3,segment,r5,random,2026-01-01T08:06:49.97,e189,2026-01-01T08:26:20.47,2026-01-01T08:26:31.06
t88,inspect,m10,m10_s1,segment,r1,random,2026-01-01T08:07:20.50,e193,2026-01-01T08:22:45.53,2026-01-01T08:22:55.46
t90,inspect,m10,m10_s2,segment,r3,random,2026-01-01T08:07:20.50,e200,2026-01-01T08:32:29.41,2026-01-01T08:32:41.76
t93,inspect,m10,m10_s3,segment,r5,random,2026-01-01T08:07:20.50,e204,2026-01-01T08:27:50.41,2026-01-01T08:28:01.42
t78,inspect,m9,m9_s1,segment,r7,random,2026-01-01T08:07:50.37,e208,2026-01-01T08:17:29.08,2026-01-01T08:17:41.02
t81,inspect,m9,m9_s2,segment,r3,random,2026-01-01T08:07:50.37,e212,2026-01-01T08:33:24.45,2026-01-01T08:33:36.13
t83,inspect,m9,m9_s3,segment,r5,random,2026-01-01T08:07:50.37,e216,2026-01-01T08:29:10.78,2026-01-01T08:29:23.69
t50,inspect,m6,m6_s1,segment,r1,random,2026-01-01T08:08:00.37,e220,2026-01-01T08:24:31.33,2026-01-01T08:24:44.58
t52,inspect,m6,m6_s2,segment,r3,random,2026-01-01T08:08:00.37,e224,2026-01-01T08:34:45.82,2026-01-01T08:34:56.18
t55,inspect,m6,m6_s3,segment,r7,random,2026-01-01T08:08:00.37,e228,2026-01-01T08:19:44.25,2026-01-01T08:19:56.42
t97,inspect,m11,m11_s1,segment,r7,random,2026-01-01T08:08:03.91,e232,2026-01-01T08:21:17.80,2026-01-01T08:21:27.86
t100,inspect,m11,m11_s2,segment,r1,random,2026-01-01T08:08:03.91,e236,2026-01-01T08:27:01.09,2026-01-01T08:27:13.89
t102,inspect,m11,m11_s3,segment,r5,random,2026-01-01T08:08:03.91,e240,2026-01-01T08:32:29.09,2026-01-01T08:32:40.12
t126,inspect,m14,m14_s1,segment,r1,random,2026-01-01T08:08:25.75,e244,2026-01-01T08:29:33.91,2026-01-01T08:29:47.65
t128,inspect,m14,m14_s2,segment,r5,random,2026-01-01T08:08:25.75,e251,2026-01-01T08:35:26.61,2026-01-01T08:35:37.76
