objective_type,objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability
mission,m1,e149,e144,e449,r4,r3,sprayer
mission,m13,e501,e181,e543,r6,r3,camera
mission,m15,e320,e701,e708,r3,r8,gripper
mission,m18,e687,e682,e786,r4,r3,sprayer
mission,m2,e140,e371,e467,r5,r7,sprayer
mission,m3,e120,e430,e325,r5,r6,sprayer
segment,m11_s3,e240,e560,e773,r5,r3,sprayer
segment,m17_s1,e263,e629,e654,r5,r2,sprayer
segment,m3_s1,e120,e430,e457,r5,r6,sprayer
