objective_type,robot_id,prev_event_id,next_event_id,from_objective_id,to_objective_id
mission,r8,e669,e701,m20,m15
mission,r8,e701,e747,m15,m19
mission,r8,e747,e757,m19,m3
segment,r1,e136,e161,m2_s2,m4_s2
segment,r1,e161,e177,m4_s2,m8_s3
segment,r1,e177,e185,m8_s3,m13_s2
segment,r1,e185,e193,m13_s2,m10_s1
segment,r1,e193,e220,m10_s1,m6_s1
segment,r1,e220,e236,m6_s1,m11_s2
segment,r1,e236,e244,m11_s2,m14_s1
segment,r1,e244,e274,m14_s1,m17_s3
segment,r1,e274,e344,m17_s3,m16_s1
segment,r1,e344,e356,m16_s1,m19_s1
segment,r1,e356,e422,m19_s1,m6_s3
segment,r1,e422,e472,m6_s3,m12_s1
segment,r1,e472,e477,m12_s1,m5_s3
segment,r1,e477,e497,m5_s3,m18_s3
segment,r1,e497,e506,m18_s3,m8_s1
segment,r1,e506,e520,m8_s1,m10_s3
segment,r1,e520,e552,m10_s3,m13_s1
segment,r1,e552,e579,m13_s1,m16_s2
segment,r1,e579,e610,m16_s2,m14_s3
segment,r1,e610,e692,m14_s3,m12_s2
segment,r2,e259,e391,m7_s3,m7_s1
segment,r2,e391,e399,m7_s1,m9_s1
segment,r2,e399,e407,m9_s1,m5_s3
segment,r2,e407,e597,m5_s3,m14_s2
segment,r2,e597,e629,m14_s2,m17_s1
segment,r2,e629,e721,m17_s1,m19_s3
segment,r3,e108,e128,m5_s1,m3_s3
segment,r3,e128,e144,m3_s3,m1_s3
segment,r3,e144,e153,m1_s3,m1_s1
segment,r3,e153,e169,m1_s1,m8_s1
segment,r3,e169,e181,m8_s1,m13_s1
segment,r3,e181,e200,m13_s1,m10_s2
segment,r3,e200,e212,m10_s2,m9_s2
segment,r3,e212,e224,m9_s2,m6_s2
segment,r3,e224,e255,m6_s2,m14_s3
segment,r3,e255,e267,m14_s3,m17_s2
segment,r3,e267,e282,m17_s2,m12_s2
segment,r3,e282,e304,m12_s2,m18_s2
segment,r3,e304,e320,m18_s2,m15_s3
segment,r3,e320,e352,m15_s3,m16_s3
segment,r3,e352,e364,m16_s3,m19_s3
segment,r3,e364,e387,m19_s3,m20_s3
segment,r3,e387,e403,m20_s3,m5_s1
segment,r3,e403,e426,m5_s1,m3_s3
segment,r3,e426,e560,m3_s3,m11_s3
segment,r3,e560,e682,m11_s3,m18_s2
segment,r3,e80,e108,m7_s1,m5_s1
segment,r4,e149,e330,m1_s2,m7_s2
segment,r4,e330,e449,m7_s2,m1_s3
segment,r4,e449,e487,m1_s3,m6_s1
segment,r4,e487,e492,m6_s1,m4_s3
segment,r4,e492,e525,m4_s3,m13_s3
segment,r4,e525,e534,m13_s3,m15_s1
segment,r4,e534,e639,m15_s1,m17_s2
segment,r4,e639,e649,m17_s2,m10_s2
segment,r4,e649,e659,m10_s2,m6_s2
segment,r4,e659,e664,m6_s2,m9_s3
segment,r4,e664,e678,m9_s3,m19_s1
segment,r4,e678,e687,m19_s1,m18_s1
segment,r4,e687,e713,m18_s1,m16_s3
segment,r4,e713,e730,m16_s3,m20_s3
segment,r4,e730,e786,m20_s3,m18_s2
segment,r5,e116,e120,m5_s3,m3_s1
segment,r5,e120,e140,m3_s1,m2_s3
segment,r5,e140,e165,m2_s3,m4_s3
segment,r5,e165,e189,m4_s3,m13_s3
segment,r5,e189,e204,m13_s3,m10_s3
segment,r5,e204,e216,m10_s3,m9_s3
segment,r5,e216,e240,m9_s3,m11_s3
segment,r5,e240,e251,m11_s3,m14_s2
segment,r5,e251,e263,m14_s2,m17_s1
segment,r5,e263,e286,m17_s1,m12_s3
segment,r5,e286,e291,m12_s3,m7_s3
segment,r5,e291,e296,m7_s3,m5_s2
