objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
segment,m13_s3,e501,e525,r6,r4
segment,m14_s1,e244,e539,r1,r8
segment,m14_s2,e251,e597,r5,r2
segment,m14_s2,e597,e620,r2,r8
segment,m14_s3,e255,e610,r3,r1
segment,m15_s1,e312,e515,r7,r6
segment,m15_s1,e515,e534,r6,r4
segment,m15_s2,e316,e701,r5,r8
segment,m15_s3,e708,e803,r3,r5
segment,m16_s1,e344,e584,r1,r5
segment,m16_s2,e348,e547,r7,r6
segment,m16_s2,e547,e579,r6,r1
segment,m16_s3,e352,e713,r3,r4
segment,m17_s1,e263,e629,r5,r2
segment,m17_s1,e629,e654,r2,r5
segment,m17_s2,e267,e639,r3,r4
segment,m17_s3,e274,e556,r1,r6
segment,m17_s3,e556,e615,r6,r5
segment,m18_s1,e300,e687,r5,r4
segment,m18_s2,e682,e786,r3,r4
segment,m18_s3,e308,e497,r7,r1
segment,m19_s1,e356,e601,r1,r7
segment,m19_s1,e601,e678,r7,r4
segment,m19_s2,e360,e747,r5,r8
segment,m19_s3,e364,e721,r3,r2
segment,m19_s3,e721,e752,r2,r5
segment,m1_s1,e153,e482,r3,r5
segment,m1_s1,e32,e153,r7,r3
segment,m1_s2,e36,e149,r3,r4
segment,m1_s3,e144,e449,r3,r4
segment,m1_s3,e40,e144,r5,r3
segment,m20_s2,e383,e605,r7,r6
segment,m20_s2,e605,e669,r6,r8
segment,m20_s3,e387,e730,r3,r4
segment,m2_s1,e132,e335,r7,r8
segment,m2_s2,e136,e371,r1,r7
segment,m2_s2,e371,e574,r7,r5
segment,m3_s1,e120,e430,r5,r6
segment,m3_s1,e430,e457,r6,r5
segment,m3_s2,e124,e325,r7,r5
segment,m3_s3,e426,e757,r3,r8
segment,m4_s1,e157,e340,r7,r5
segment,m4_s2,e161,e395,r1,r7
segment,m4_s2,e395,e625,r7,r8
segment,m4_s3,e165,e492,r5,r4
segment,m5_s1,e403,e742,r3,r1
segment,m5_s2,e112,e296,r7,r5
segment,m5_s3,e116,e407,r5,r2
segment,m5_s3,e407,e477,r2,r1
segment,m6_s1,e220,e487,r1,r4
segment,m6_s2,e224,e588,r3,r6
segment,m6_s2,e588,e659,r6,r4
segment,m6_s3,e228,e422,r7,r1
segment,m7_s1,e391,e412,r2,r5
segment,m7_s1,e80,e391,r3,r2
segment,m7_s2,e84,e330,r5,r4
segment,m7_s3,e259,e291,r2,r5
segment,m7_s3,e88,e259,r7,r2
segment,m8_s1,e169,e506,r3,r1
segment,m8_s2,e375,e593,r7,r5
segment,m8_s3,e177,e417,r1,r5
segment,m9_s1,e208,e399,r7,r2
segment,m9_s1,e399,e439,r2,r5
segment,m9_s2,e212,e569,r3,r5
segment,m9_s3,e216,e529,r5,r7
segment,m9_s3,e529,e664,r7,r4
