objective_type,objective_1,objective_2,mission_id,overlap_start,overlap_end
mission,m12,m9,,2026-01-01T08:07:59.09,2026-01-01T08:35:33.39
mission,m13,m14,,2026-01-01T08:08:44.17,2026-01-01T08:36:06.13
mission,m13,m15,,2026-01-01T08:09:36.59,2026-01-01T08:36:06.13
mission,m13,m16,,2026-01-01T08:09:58.32,2026-01-01T08:36:06.13
mission,m13,m17,,2026-01-01T08:11:04.59,2026-01-01T08:36:06.13
mission,m13,m18,,2026-01-01T08:11:28.99,2026-01-01T08:36:06.13
mission,m13,m19,,2026-01-01T08:11:51.98,2026-01-01T08:36:06.13
mission,m13,m2,,2026-01-01T08:07:18.43,2026-01-01T08:21:20.82
mission,m13,m20,,2026-01-01T08:11:47.88,2026-01-01T08:36:06.13
mission,m13,m3,,2026-01-01T08:07:18.43,2026-01-01T08:30:18.05
mission,m13,m4,,2026-01-01T08:07:18.43,2026-01-01T08:27:43.25
mission,m13,m5,,2026-01-01T08:07:18.43,2026-01-01T08:28:33.23
mission,m13,m6,,2026-01-01T08:07:18.43,2026-01-01T08:31:48.69
mission,m13,m7,,2026-01-01T08:07:18.43,2026-01-01T08:30:59.52
mission,m13,m8,,2026-01-01T08:07:18.43,2026-01-01T08:32:57.27
mission,m13,m9,,2026-01-01T08:07:18.43,2026-01-01T08:35:33.39
mission,m14,m15,,2026-01-01T08:09:36.59,2026-01-01T08:36:47.84
mission,m14,m16,,2026-01-01T08:09:58.32,2026-01-01T08:36:47.84
mission,m14,m17,,2026-01-01T08:11:04.59,2026-01-01T08:36:47.84
mission,m14,m18,,2026-01-01T08:11:28.99,2026-01-01T08:36:47.84
mission,m14,m19,,2026-01-01T08:11:51.98,2026-01-01T08:36:47.84
mission,m14,m2,,2026-01-01T08:08:44.17,2026-01-01T08:21:20.82
mission,m14,m20,,2026-01-01T08:11:47.88,2026-01-01T08:36:47.84
mission,m14,m3,,2026-01-01T08:08:44.17,2026-01-01T08:30:18.05
mission,m14,m4,,2026-01-01T08:08:44.17,2026-01-01T08:27:43.25
mission,m14,m5,,2026-01-01T08:08:44.17,2026-01-01T08:28:33.23
mission,m14,m6,,2026-01-01T08:08:44.17,2026-01-01T08:31:48.69
mission,m14,m7,,2026-01-01T08:08:44.17,2026-01-01T08:30:59.52
mission,m14,m8,,2026-01-01T08:08:44.17,2026-01-01T08:32:57.27
mission,m14,m9,,2026-01-01T08:08:44.17,2026-01-01T08:35:33.39
mission,m15,m16,,2026-01-01T08:09:58.32,2026-01-01T08:41:56.63
mission,m15,m17,,2026-01-01T08:11:04.59,2026-01-01T08:42:26.02
mission,m15,m18,,2026-01-01T08:11:28.99,2026-01-01T08:42:26.02
mission,m15,m19,,2026-01-01T08:11:51.98,2026-01-01T08:42:26.02
mission,m15,m2,,2026-01-01T08:09:36.59,2026-01-01T08:21:20.82
mission,m15,m20,,2026-01-01T08:11:47.88,2026-01-01T08:42:26.02
