pattern_type,objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id,robot_id,from_objective_id,to_objective_id,event_i,event_j,event_k,returning_robot_id,intermediate_robot_id,reason_capability,objective_1,objective_2,mission_id,overlap_start,overlap_end
handover,mission,m18,e144,e418,r1,r7,,,,,,,,,,,,,,
handover,mission,m18,e410,e709,r3,r2,,,,,,,,,,,,,,
handover,mission,m18,e414,e410,r1,r3,,,,,,,,,,,,,,
handover,mission,m18,e418,e414,r7,r1,,,,,,,,,,,,,,
handover,mission,m18,e701,e719,r1,r8,,,,,,,,,,,,,,
handover,mission,m18,e709,e701,r2,r1,,,,,,,,,,,,,,
handover,mission,m18,e780,e834,r8,r7,,,,,,,,,,,,,,
handover,mission,m19,e153,e448,r3,r1,,,,,,,,,,,,,,
handover,mission,m19,e444,e751,r5,r6,,,,,,,,,,,,,,
handover,mission,m19,e448,e452,r1,r3,,,,,,,,,,,,,,
handover,mission,m19,e452,e444,r3,r5,,,,,,,,,,,,,,
handover,mission,m19,e738,e789,r8,r4,,,,,,,,,,,,,,
handover,mission,m19,e738,e794,r8,r1,,,,,,,,,,,,,,
handover,mission,m19,e742,e738,r2,r8,,,,,,,,,,,,,,
handover,mission,m19,e751,e742,r6,r2,,,,,,,,,,,,,,
handover,mission,m19,e789,e838,r4,r3,,,,,,,,,,,,,,
handover,mission,m19,e794,e838,r1,r3,,,,,,,,,,,,,,
handover,mission,m2,e161,e196,r6,r8,,,,,,,,,,,,,,
handover,mission,m2,e191,e196,r4,r8,,,,,,,,,,,,,,
handover,mission,m2,e262,e361,r8,r3,,,,,,,,,,,,,,
handover,mission,m2,e44,e161,r7,r6,,,,,,,,,,,,,,
handover,mission,m2,e44,e191,r7,r4,,,,,,,,,,,,,,
handover,mission,m2,e48,e44,r5,r7,,,,,,,,,,,,,,
handover,mission,m2,e48,e52,r5,r3,,,,,,,,,,,,,,
handover,mission,m2,e52,e161,r3,r6,,,,,,,,,,,,,,
handover,mission,m2,e52,e191,r3,r4,,,,,,,,,,,,,,
handover,mission,m2,e8,e48,r3,r5,,,,,,,,,,,,,,
handover,mission,m20,e165,e432,r7,r5,,,,,,,,,,,,,,
handover,mission,m20,e432,e436,r5,r7,,,,,,,,,,,,,,
handover,mission,m20,e432,e440,r5,r3,,,,,,,,,,,,,,
handover,mission,m20,e436,e728,r7,r6,,,,,,,,,,,,,,
handover,mission,m20,e440,e728,r3,r6,,,,,,,,,,,,,,
handover,mission,m20,e724,e733,r4,r1,,,,,,,,,,,,,,
handover,mission,m20,e728,e724,r6,r4,,,,,,,,,,,,,,
handover,mission,m20,e733,e775,r1,r4,,,,,,,,,,,,,,
handover,mission,m20,e775,e826,r4,r3,,,,,,,,,,,,,,
handover,mission,m3,e108,e112,r3,r7,,,,,,,,,,,,,,
handover,mission,m3,e112,e309,r7,r2,,,,,,,,,,,,,,
handover,mission,m3,e112,e313,r7,r6,,,,,,,,,,,,,,
handover,mission,m3,e116,e112,r1,r7,,,,,,,,,,,,,,
handover,mission,m3,e12,e108,r1,r3,,,,,,,,,,,,,,
handover,mission,m3,e309,e345,r2,r4,,,,,,,,,,,,,,
handover,mission,m3,e313,e345,r6,r4,,,,,,,,,,,,,,
handover,mission,m3,e423,e428,r4,r8,,,,,,,,,,,,,,
handover,mission,m3,e428,e645,r8,r7,,,,,,,,,,,,,,
handover,mission,m4,e16,e84,r5,r7,,,,,,,,,,,,,,
handover,mission,m4,e267,e293,r4,r2,,,,,,,,,,,,,,
handover,mission,m4,e272,e390,r4,r8,,,,,,,,,,,,,,
handover,mission,m4,e293,e272,r2,r4,,,,,,,,,,,,,,
handover,mission,m4,e390,e604,r8,r7,,,,,,,,,,,,,,
handover,mission,m4,e84,e88,r7,r1,,,,,,,,,,,,,,
handover,mission,m4,e88,e267,r1,r4,,,,,,,,,,,,,,
handover,mission,m4,e92,e88,r5,r1,,,,,,,,,,,,,,
handover,mission,m5,e225,e229,r4,r6,,,,,,,,,,,,,,
handover,mission,m5,e225,e257,r4,r2,,,,,,,,,,,,,,
