objective_type,objective_id,prev_event_id,next_event_id,from_robot_id,to_robot_id
mission,m8,e200,e406,r3,r6
mission,m8,e204,e208,r5,r7
mission,m8,e208,e200,r7,r3
mission,m8,e406,e461,r6,r8
mission,m8,e461,e485,r8,r4
mission,m8,e509,e770,r4,r3
mission,m9,e233,e499,r7,r2
mission,m9,e237,e233,r3,r7
mission,m9,e241,e237,r5,r3
mission,m9,e514,e562,r1,r8
mission,m9,e528,e514,r2,r1
mission,m9,e582,e798,r8,r7
segment,m10_s1,e212,e495,r7,r1
segment,m10_s2,e216,e456,r5,r2
segment,m10_s2,e456,e519,r2,r8
segment,m10_s3,e220,e524,r1,r8
segment,m11_s1,e245,e557,r1,r6
segment,m11_s1,e557,e641,r6,r1
segment,m11_s3,e253,e532,r3,r6
segment,m11_s3,e532,e570,r6,r1
segment,m12_s1,e297,e553,r3,r4
segment,m12_s2,e301,e591,r7,r2
segment,m12_s2,e591,e668,r2,r5
segment,m12_s3,e305,e619,r5,r1
segment,m13_s1,e281,e548,r7,r2
segment,m13_s1,e548,e609,r2,r4
segment,m13_s3,e289,e574,r1,r2
segment,m13_s3,e574,e624,r2,r8
segment,m14_s1,e322,e600,r1,r4
segment,m14_s2,e326,e595,r3,r6
segment,m14_s2,e595,e663,r6,r5
segment,m14_s3,e330,e614,r7,r5
segment,m15_s1,e349,e628,r1,r6
segment,m15_s1,e628,e682,r6,r1
segment,m15_s2,e353,e636,r3,r4
segment,m15_s3,e357,e658,r5,r6
segment,m15_s3,e658,e714,r6,r5
segment,m16_s1,e365,e687,r3,r5
segment,m16_s2,e369,e649,r7,r2
segment,m16_s2,e649,e692,r2,r8
segment,m16_s3,e373,e654,r1,r8
segment,m17_s1,e394,e705,r5,r6
segment,m17_s1,e705,e756,r6,r4
segment,m17_s2,e398,e677,r7,r4
segment,m17_s3,e402,e672,r1,r2
segment,m17_s3,e672,e747,r2,r1
segment,m18_s1,e410,e719,r3,r8
segment,m18_s2,e414,e709,r1,r2
segment,m18_s2,e709,e780,r2,r8
segment,m18_s3,e418,e701,r7,r1
segment,m19_s1,e444,e751,r5,r6
segment,m19_s1,e751,e789,r6,r4
segment,m19_s2,e448,e738,r1,r8
segment,m19_s3,e452,e742,r3,r2
segment,m19_s3,e742,e794,r2,r1
segment,m1_s1,e157,e186,r2,r8
segment,m1_s1,e24,e157,r7,r2
segment,m1_s2,e28,e149,r3,r8
segment,m1_s3,e169,e277,r2,r8
segment,m1_s3,e32,e169,r1,r2
segment,m20_s1,e432,e724,r5,r4
segment,m20_s2,e436,e728,r7,r6
segment,m20_s2,e728,e775,r6,r4
segment,m20_s3,e440,e733,r3,r1
segment,m2_s1,e44,e196,r7,r8
segment,m2_s2,e161,e262,r6,r8
segment,m2_s2,e48,e161,r5,r6
segment,m2_s3,e52,e191,r3,r4
segment,m3_s1,e108,e313,r3,r6
segment,m3_s1,e313,e428,r6,r8
segment,m3_s2,e112,e345,r7,r4
segment,m3_s3,e116,e309,r1,r2
segment,m3_s3,e309,e423,r2,r4
segment,m4_s1,e84,e267,r7,r4
segment,m4_s2,e293,e390,r2,r8
segment,m4_s2,e88,e293,r1,r2
segment,m4_s3,e92,e272,r5,r4
segment,m5_s1,e257,e335,r2,r4
segment,m5_s1,e68,e257,r1,r2
segment,m5_s2,e72,e225,r7,r4
segment,m5_s3,e229,e340,r6,r8
segment,m5_s3,e76,e229,r3,r6
segment,m6_s1,e173,e490,r1,r8
segment,m6_s2,e177,e385,r5,r6
segment,m6_s2,e385,e504,r6,r5
segment,m6_s3,e181,e466,r3,r4
segment,m7_s1,e120,e377,r5,r6
segment,m7_s1,e377,e480,r6,r8
segment,m7_s2,e124,e318,r1,r4
segment,m7_s3,e128,e381,r3,r2
segment,m7_s3,e381,e475,r2,r4
segment,m8_s1,e200,e485,r3,r4
segment,m8_s2,e204,e406,r5,r6
segment,m8_s2,e406,e509,r6,r4
segment,m8_s3,e208,e461,r7,r8
segment,m9_s1,e233,e528,r7,r2
segment,m9_s1,e528,e582,r2,r8
segment,m9_s2,e237,e514,r3,r1
segment,m9_s3,e241,e499,r5,r2
segment,m9_s3,e499,e562,r2,r8
