task_id,task_name,mission_id,segment_id,task_scope,robot_id,allocation_strategy,decision_time,event_id,start_time,end_time
t172,survey_field,m19,,mission,r3,hungarian,2026-01-01T08:03:00.00,e153,2026-01-01T08:11:51.98,2026-01-01T08:12:01.82
t3,spray,m1,m1_s1,segment,r2,hungarian,2026-01-01T08:03:00.52,e157,2026-01-01T08:03:59.62,2026-01-01T08:04:16.18
t15,spray,m2,m2_s2,segment,r6,hungarian,2026-01-01T08:03:07.99,e161,2026-01-01T08:06:03.80,2026-01-01T08:06:20.89
t182,survey_field,m20,,mission,r7,hungarian,2026-01-01T08:03:10.00,e165,2026-01-01T08:11:47.88,2026-01-01T08:11:56.70
t8,spray,m1,m1_s3,segment,r2,hungarian,2026-01-01T08:03:22.74,e169,2026-01-01T08:06:26.79,2026-01-01T08:06:47.09
t50,inspect,m6,m6_s1,segment,r1,hungarian,2026-01-01T08:03:47.46,e173,2026-01-01T08:13:36.20,2026-01-01T08:13:49.45
t52,inspect,m6,m6_s2,segment,r5,hungarian,2026-01-01T08:03:47.46,e177,2026-01-01T08:10:37.50,2026-01-01T08:10:47.86
t55,inspect,m6,m6_s3,segment,r3,hungarian,2026-01-01T08:03:47.46,e181,2026-01-01T08:12:23.58,2026-01-01T08:12:35.75
t4,harvest,m1,m1_s1,segment,r8,hungarian,2026-01-01T08:04:16.18,e186,2026-01-01T08:05:03.73,2026-01-01T08:05:27.68
t18,harvest,m2,m2_s3,segment,r4,hungarian,2026-01-01T08:04:36.15,e191,2026-01-01T08:05:47.68,2026-01-01T08:06:10.98
t13,harvest,m2,m2_s1,segment,r8,hungarian,2026-01-01T08:04:38.67,e196,2026-01-01T08:06:58.24,2026-01-01T08:07:21.93
t69,inspect,m8,m8_s1,segment,r3,hungarian,2026-01-01T08:04:52.66,e200,2026-01-01T08:13:36.99,2026-01-01T08:13:49.39
t71,inspect,m8,m8_s2,segment,r5,hungarian,2026-01-01T08:04:52.66,e204,2026-01-01T08:11:13.78,2026-01-01T08:11:27.77
t74,inspect,m8,m8_s3,segment,r7,hungarian,2026-01-01T08:04:52.66,e208,2026-01-01T08:12:06.33,2026-01-01T08:12:20.67
t88,inspect,m10,m10_s1,segment,r7,hungarian,2026-01-01T08:04:55.36,e212,2026-01-01T08:13:46.67,2026-01-01T08:13:56.60
t90,inspect,m10,m10_s2,segment,r5,hungarian,2026-01-01T08:04:55.36,e216,2026-01-01T08:11:55.93,2026-01-01T08:12:08.28
t93,inspect,m10,m10_s3,segment,r1,hungarian,2026-01-01T08:04:55.36,e220,2026-01-01T08:15:09.06,2026-01-01T08:15:20.07
t44,harvest,m5,m5_s2,segment,r4,hungarian,2026-01-01T08:05:20.79,e225,2026-01-01T08:07:36.32,2026-01-01T08:07:58.54
t46,spray,m5,m5_s3,segment,r6,hungarian,2026-01-01T08:05:45.44,e229,2026-01-01T08:09:00.87,2026-01-01T08:09:17.99
t78,inspect,m9,m9_s1,segment,r7,hungarian,2026-01-01T08:05:54.04,e233,2026-01-01T08:15:27.29,2026-01-01T08:15:39.23
t81,inspect,m9,m9_s2,segment,r3,hungarian,2026-01-01T08:05:54.04,e237,2026-01-01T08:14:54.17,2026-01-01T08:15:05.85
t83,inspect,m9,m9_s3,segment,r5,hungarian,2026-01-01T08:05:54.04,e241,2026-01-01T08:13:56.23,2026-01-01T08:14:09.14
t97,inspect,m11,m11_s1,segment,r1,hungarian,2026-01-01T08:05:58.39,e245,2026-01-01T08:16:54.34,2026-01-01T08:17:04.40
t100,inspect,m11,m11_s2,segment,r5,hungarian,2026-01-01T08:05:58.39,e249,2026-01-01T08:16:31.32,2026-01-01T08:16:44.12
t102,inspect,m11,m11_s3,segment,r3,hungarian,2026-01-01T08:05:58.39,e253,2026-01-01T08:15:57.45,2026-01-01T08:16:08.48
t41,spray,m5,m5_s1,segment,r2,hungarian,2026-01-01T08:06:00.12,e257,2026-01-01T08:08:49.49,2026-01-01T08:09:09.77
t16,harvest,m2,m2_s2,segment,r8,hungarian,2026-01-01T08:06:20.89,e262,2026-01-01T08:09:31.92,2026-01-01T08:09:54.39
t32,harvest,m4,m4_s1,segment,r4,hungarian,2026-01-01T08:06:41.77,e267,2026-01-01T08:08:45.92,2026-01-01T08:09:07.59
t37,harvest,m4,m4_s3,segment,r4,hungarian,2026-01-01T08:06:43.67,e272,2026-01-01T08:11:05.75,2026-01-01T08:11:27.38
t9,harvest,m1,m1_s3,segment,r8,hungarian,2026-01-01T08:06:47.09,e277,2026-01-01T08:12:11.14,2026-01-01T08:12:38.49
t116,inspect,m13,m13_s1,segment,r7,hungarian,2026-01-01T08:07:27.78,e281,2026-01-01T08:16:36.91,2026-01-01T08:16:46.93
t119,inspect,m13,m13_s2,segment,r5,hungarian,2026-01-01T08:07:27.78,e285,2026-01-01T08:18:23.53,2026-01-01T08:18:35.03
t121,inspect,m13,m13_s3,segment,r1,hungarian,2026-01-01T08:07:27.78,e289,2026-01-01T08:17:51.21,2026-01-01T08:18:01.80
t34,spray,m4,m4_s2,segment,r2,hungarian,2026-01-01T08:07:47.11,e293,2026-01-01T08:10:44.63,2026-01-01T08:10:59.63
t107,inspect,m12,m12_s1,segment,r3,hungarian,2026-01-01T08:08:09.41,e297,2026-01-01T08:16:39.33,2026-01-01T08:16:49.07
t109,inspect,m12,m12_s2,segment,r7,hungarian,2026-01-01T08:08:09.41,e301,2026-01-01T08:18:28.65,2026-01-01T08:18:41.08
t112,inspect,m12,m12_s3,segment,r5,hungarian,2026-01-01T08:08:09.41,e305,2026-01-01T08:19:27.00,2026-01-01T08:19:41.19
t27,spray,m3,m3_s3,segment,r2,hungarian,2026-01-01T08:08:20.84,e309,2026-01-01T08:11:23.26,2026-01-01T08:11:43.95
t22,spray,m3,m3_s1,segment,r6,hungarian,2026-01-01T08:08:28.79,e313,2026-01-01T08:11:32.72,2026-01-01T08:11:49.61
t63,harvest,m7,m7_s2,segment,r4,hungarian,2026-01-01T08:08:50.26,e318,2026-01-01T08:12:32.11,2026-01-01T08:12:54.96
t126,inspect,m14,m14_s1,segment,r1,hungarian,2026-01-01T08:08:55.23,e322,2026-01-01T08:18:50.17,2026-01-01T08:19:03.91
t128,inspect,m14,m14_s2,segment,r3,hungarian,2026-01-01T08:08:55.23,e326,2026-01-01T08:18:43.26,2026-01-01T08:18:54.41
t131,inspect,m14,m14_s3,segment,r7,hungarian,2026-01-01T08:08:55.23,e330,2026-01-01T08:19:17.69,2026-01-01T08:19:29.69
t42,harvest,m5,m5_s1,segment,r4,hungarian,2026-01-01T08:09:09.77,e335,2026-01-01T08:14:32.72,2026-01-01T08:14:52.59
t47,harvest,m5,m5_s3,segment,r8,hungarian,2026-01-01T08:09:17.99,e340,2026-01-01T08:15:50.88,2026-01-01T08:16:12.41
t25,harvest,m3,m3_s2,segment,r4,hungarian,2026-01-01T08:09:44.80,e345,2026-01-01T08:16:06.34,2026-01-01T08:16:29.76
t135,inspect,m15,m15_s1,segment,r1,hungarian,2026-01-01T08:09:46.09,e349,2026-01-01T08:19:57.98,2026-01-01T08:20:09.33
t138,inspect,m15,m15_s2,segment,r3,hungarian,2026-01-01T08:09:46.09,e353,2026-01-01T08:19:59.76,2026-01-01T08:20:11.91
t140,inspect,m15,m15_s3,segment,r5,hungarian,2026-01-01T08:09:46.09,e357,2026-01-01T08:21:51.03,2026-01-01T08:22:02.45
t19,final_inspection,m2,,mission,r3,hungarian,2026-01-01T08:09:54.39,e361,2026-01-01T08:21:11.69,2026-01-01T08:21:20.82
t145,inspect,m16,m16_s1,segment,r3,hungarian,2026-01-01T08:10:10.12,e365,2026-01-01T08:23:41.98,2026-01-01T08:23:51.98
t147,inspect,m16,m16_s2,segment,r7,hungarian,2026-01-01T08:10:10.12,e369,2026-01-01T08:20:47.96,2026-01-01T08:20:58.16
t150,inspect,m16,m16_s3,segment,r1,hungarian,2026-01-01T08:10:10.12,e373,2026-01-01T08:20:47.49,2026-01-01T08:20:59.47
t60,spray,m7,m7_s1,segment,r6,hungarian,2026-01-01T08:10:15.44,e377,2026-01-01T08:13:16.64,2026-01-01T08:13:32.60
t65,spray,m7,m7_s3,segment,r2,hungarian,2026-01-01T08:10:20.16,e381,2026-01-01T08:13:11.04,2026-01-01T08:13:30.60
t53,spray,m6,m6_s2,segment,r6,hungarian,2026-01-01T08:10:47.86,e385,2026-01-01T08:13:55.60,2026-01-01T08:14:11.60
t35,harvest,m4,m4_s2,segment,r8,hungarian,2026-01-01T08:10:59.63,e390,2026-01-01T08:18:54.06,2026-01-01T08:19:18.43
t154,inspect,m17,m17_s1,segment,r5,hungarian,2026-01-01T08:11:15.39,e394,2026-01-01T08:24:30.09,2026-01-01T08:24:40.17
t157,inspect,m17,m17_s2,segment,r7,hungarian,2026-01-01T08:11:15.39,e398,2026-01-01T08:22:34.84,2026-01-01T08:22:45.49
t159,inspect,m17,m17_s3,segment,r1,hungarian,2026-01-01T08:11:15.39,e402,2026-01-01T08:22:24.25,2026-01-01T08:22:34.28
t72,spray,m8,m8_s2,segment,r6,hungarian,2026-01-01T08:11:27.77,e406,2026-01-01T08:14:38.65,2026-01-01T08:14:54.61
t164,inspect,m18,m18_s1,segment,r3,hungarian,2026-01-01T08:11:37.17,e410,2026-01-01T08:25:10.11,2026-01-01T08:25:20.34
