event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id,task_id
e182,Control,navigate,2026-01-01T08:04:16.18,2026-01-01T08:04:57.24,r8,,,
e166,Control,navigate,2026-01-01T08:04:16.18,2026-01-01T08:06:21.15,r2,,,
e50,Control,position,2026-01-01T08:04:18.82,2026-01-01T08:04:20.61,r3,,,
e51,Control,align_camera,2026-01-01T08:04:20.61,2026-01-01T08:04:22.45,r3,,,
e52,Task,inspect,2026-01-01T08:04:22.45,2026-01-01T08:04:36.15,r3,m2,m2_s3,t17
e42,Control,position,2026-01-01T08:04:23.95,2026-01-01T08:04:26.06,r7,,,
e43,Control,align_camera,2026-01-01T08:04:26.06,2026-01-01T08:04:28.13,r7,,,
e44,Task,inspect,2026-01-01T08:04:28.13,2026-01-01T08:04:38.67,r7,m2,m2_s1,t12
e73,Control,navigate,2026-01-01T08:04:36.15,2026-01-01T08:05:29.04,r3,,,
e187,Control,navigate,2026-01-01T08:04:36.15,2026-01-01T08:05:40.34,r4,,,
e61,Control,navigate,2026-01-01T08:04:38.67,2026-01-01T08:04:43.00,r7,,,
e54,Control,position,2026-01-01T08:04:39.30,2026-01-01T08:04:41.47,r5,,,
e55,Control,align_camera,2026-01-01T08:04:41.47,2026-01-01T08:04:43.79,r5,,,
e62,Control,position,2026-01-01T08:04:43.00,2026-01-01T08:04:44.90,r7,,,
e56,Task,survey_field,2026-01-01T08:04:43.79,2026-01-01T08:04:52.66,r5,m8,,t68
e63,Control,align_camera,2026-01-01T08:04:44.90,2026-01-01T08:04:46.79,r7,,,
e64,Task,survey_field,2026-01-01T08:04:46.79,2026-01-01T08:04:55.36,r7,m10,,t87
e57,Control,navigate,2026-01-01T08:04:52.66,2026-01-01T08:05:40.54,r5,,,
e69,Control,navigate,2026-01-01T08:04:55.36,2026-01-01T08:05:05.39,r7,,,
e183,Control,position,2026-01-01T08:04:57.24,2026-01-01T08:04:59.36,r8,,,
e184,Control,align_gripper,2026-01-01T08:04:59.36,2026-01-01T08:05:01.09,r8,,,
e185,Control,grasp,2026-01-01T08:05:01.09,2026-01-01T08:05:03.73,r8,,,
e186,Task,harvest,2026-01-01T08:05:03.73,2026-01-01T08:05:27.68,r8,m1,m1_s1,t4
e70,Control,position,2026-01-01T08:05:05.39,2026-01-01T08:05:07.16,r7,,,
e71,Control,align_camera,2026-01-01T08:05:07.16,2026-01-01T08:05:09.29,r7,,,
e72,Task,inspect,2026-01-01T08:05:09.29,2026-01-01T08:05:20.79,r7,m5,m5_s2,t43
e77,Control,navigate,2026-01-01T08:05:20.79,2026-01-01T08:05:45.45,r7,,,
e192,Control,navigate,2026-01-01T08:05:27.68,2026-01-01T08:06:51.11,r8,,,
e74,Control,position,2026-01-01T08:05:29.04,2026-01-01T08:05:31.29,r3,,,
e75,Control,align_camera,2026-01-01T08:05:31.29,2026-01-01T08:05:33.01,r3,,,
e76,Task,inspect,2026-01-01T08:05:33.01,2026-01-01T08:05:45.44,r3,m5,m5_s3,t45
e188,Control,position,2026-01-01T08:05:40.34,2026-01-01T08:05:42.18,r4,,,
e58,Control,position,2026-01-01T08:05:40.54,2026-01-01T08:05:42.73,r5,,,
e189,Control,align_gripper,2026-01-01T08:05:42.18,2026-01-01T08:05:44.17,r4,,,
e59,Control,align_camera,2026-01-01T08:05:42.73,2026-01-01T08:05:44.92,r5,,,
e190,Control,grasp,2026-01-01T08:05:44.17,2026-01-01T08:05:47.68,r4,,,
e60,Task,survey_field,2026-01-01T08:05:44.92,2026-01-01T08:05:54.04,r5,m9,,t77
e97,Control,navigate,2026-01-01T08:05:45.44,2026-01-01T08:07:14.46,r3,,,
e78,Control,position,2026-01-01T08:05:45.45,2026-01-01T08:05:47.08,r7,,,
e66,Control,position,2026-01-01T08:05:45.51,2026-01-01T08:05:47.47,r1,,,
e79,Control,align_camera,2026-01-01T08:05:47.08,2026-01-01T08:05:48.81,r7,,,
e67,Control,align_camera,2026-01-01T08:05:47.47,2026-01-01T08:05:49.16,r1,,,
e191,Task,harvest,2026-01-01T08:05:47.68,2026-01-01T08:06:10.98,r4,m2,m2_s3,t18
e80,Task,survey_field,2026-01-01T08:05:48.81,2026-01-01T08:05:58.39,r7,m11,,t96
e68,Task,inspect,2026-01-01T08:05:49.16,2026-01-01T08:06:00.12,r1,m5,m5_s1,t40
e89,Control,navigate,2026-01-01T08:05:54.04,2026-01-01T08:06:26.32,r5,,,
e81,Control,navigate,2026-01-01T08:05:58.39,2026-01-01T08:06:28.42,r7,,,
e159,Control,position,2026-01-01T08:05:58.99,2026-01-01T08:06:00.84,r6,,,
e85,Control,navigate,2026-01-01T08:06:00.12,2026-01-01T08:07:30.00,r1,,,
e160,Control,activate_sprayer,2026-01-01T08:06:00.84,2026-01-01T08:06:03.80,r6,,,
e161,Task,spray,2026-01-01T08:06:03.80,2026-01-01T08:06:20.89,r6,m2,m2_s2,t15
