event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e62,Task,move_to,2026-08-28T10:07:30.634960,2026-08-28T10:07:36.298440,robot1,m4,s2
e63,Control,localize,2026-08-28T10:07:36.302632,2026-08-28T10:07:41.310528,robot1,m4,s2
e64,Task,place,2026-08-28T10:07:41.313413,2026-08-28T10:07:44.319917,robot1,m4,s2
e65,Control,move_to,2026-08-28T10:07:44.463320,2026-08-28T10:07:53.413371,robot1,m6,s2
e66,Control,localize,2026-08-28T10:07:53.416198,2026-08-28T10:07:58.423768,robot1,m6,s2
e67,Task,pick,2026-08-28T10:07:58.425460,2026-08-28T10:08:01.430670,robot1,m6,s2
e68,Task,move_to,2026-08-28T10:08:01.434249,2026-08-28T10:08:12.754293,robot1,m6,s2
e69,Control,localize,2026-08-28T10:08:12.758229,2026-08-28T10:08:17.763421,robot1,m6,s2
e70,Task,place,2026-08-28T10:08:17.764696,2026-08-28T10:08:20.768786,robot1,m6,s2
e71,Control,move_to,2026-08-28T10:08:21.470777,2026-08-28T10:08:32.791137,robot1,m6,s4
e72,Control,localize,2026-08-28T10:08:32.792271,2026-08-28T10:08:37.798391,robot1,m6,s4
e73,Task,pick,2026-08-28T10:08:37.799827,2026-08-28T10:08:41.806883,robot1,m6,s4
e74,Task,move_to,2026-08-28T10:08:41.810697,2026-08-28T10:08:53.131607,robot1,m6,s4
e75,Control,localize,2026-08-28T10:08:53.135714,2026-08-28T10:08:58.143888,robot1,m6,s4
e76,Task,place,2026-08-28T10:08:58.146992,2026-08-28T10:09:02.155079,robot1,m6,s4
e77,Control,localize,2026-08-28T10:09:04.478043,2026-08-28T10:09:09.490077,robot1,m6,s3
e78,Task,pick,2026-08-28T10:09:09.491776,2026-08-28T10:09:14.499281,robot1,m6,s3
e79,Task,move_to,2026-08-28T10:09:14.504308,2026-08-28T10:09:22.996156,robot1,m6,s3
e80,Control,localize,2026-08-28T10:09:22.999174,2026-08-28T10:09:28.003448,robot1,m6,s3
e81,Task,place,2026-08-28T10:09:28.004809,2026-08-28T10:09:33.011917,robot1,m6,s3
e82,Control,undock,2026-08-28T10:01:18.473362,2026-08-28T10:01:22.482036,robot2,m1,s2
e83,Control,move_to,2026-08-28T10:01:22.482970,2026-08-28T10:01:29.699807,robot2,m1,s2
e84,Control,localize,2026-08-28T10:01:29.701289,2026-08-28T10:01:34.706273,robot2,m1,s2
e85,Task,pick,2026-08-28T10:01:34.709446,2026-08-28T10:01:36.718625,robot2,m1,s2
e86,Task,move_to,2026-08-28T10:01:36.722958,2026-08-28T10:01:45.214137,robot2,m1,s2
e87,Control,localize,2026-08-28T10:01:45.215368,2026-08-28T10:01:50.219421,robot2,m1,s2
e88,Task,place,2026-08-28T10:01:50.220328,2026-08-28T10:01:52.224815,robot2,m1,s2
e89,Control,move_to,2026-08-28T10:01:52.474751,2026-08-28T10:02:00.965010,robot2,m3,s3
e90,Control,localize,2026-08-28T10:02:00.965841,2026-08-28T10:02:05.970652,robot2,m3,s3
e91,Task,pick,2026-08-28T10:02:05.972534,2026-08-28T10:02:10.977449,robot2,m3,s3
e92,Task,move_to,2026-08-28T10:02:10.979753,2026-08-28T10:02:19.470680,robot2,m3,s3
e93,Control,localize,2026-08-28T10:02:19.476250,2026-08-28T10:02:24.483128,robot2,m3,s3
e94,Task,place,2026-08-28T10:02:24.484982,2026-08-28T10:02:29.489429,robot2,m3,s3
e95,Control,localize,2026-08-28T10:02:32.489269,2026-08-28T10:02:37.491520,robot2,m3,s2
e96,Task,pick,2026-08-28T10:02:37.492828,2026-08-28T10:02:40.497372,robot2,m3,s2
e97,Task,move_to,2026-08-28T10:02:40.500169,2026-08-28T10:02:48.989161,robot2,m3,s2
e98,Control,localize,2026-08-28T10:02:48.992046,2026-08-28T10:02:53.998452,robot2,m3,s2
e99,Task,place,2026-08-28T10:02:54.000575,2026-08-28T10:02:57.009234,robot2,m3,s2
e100,Control,move_to,2026-08-28T10:02:57.466860,2026-08-28T10:03:05.959477,robot2,m3,s3
e101,Control,localize,2026-08-28T10:03:05.962379,2026-08-28T10:03:10.988197,robot2,m3,s3
e102,Task,pick,2026-08-28T10:03:10.991074,2026-08-28T10:03:16.000726,robot2,m3,s3
e103,Task,move_to,2026-08-28T10:03:16.005770,2026-08-28T10:03:24.498663,robot2,m3,s3
e104,Control,localize,2026-08-28T10:03:24.504014,2026-08-28T10:03:29.511433,robot2,m3,s3
e105,Task,place,2026-08-28T10:03:29.513581,2026-08-28T10:03:34.518602,robot2,m3,s3
